"Astro_1vAll","Astro_pw_pw","Chol_1vAll","Chol_pw_pw","ChP_1vAll","ChP_pw_pw","Endo_1vAll","Endo_pw_pw","Ependymal_1vAll","Ependymal_pw_pw","IoC_1vAll","IoC_pw_pw","LS_1vAll","LS_pw_pw","Micro_1vAll","Micro_pw_pw","MS_1vAll","MS_pw_pw","Mural_1vAll","Mural_pw_pw","Neuroblast_1vAll","Neuroblast_pw_pw","Oligo_1vAll","Oligo_pw_pw","OPC_1vAll","OPC_pw_pw","Sept_1vAll","Sept_pw_pw","Str_1vAll","Str_pw_pw","Thal_1vAll","Thal_pw_pw","TNoS_1vAll","TNoS_pw_pw","TT.IG.SH_1vAll","TT.IG.SH_pw_pw"
"Slc1a2","Slc1a2","D130079A08Rik","D130079A08Rik","Tmem72","Tmem72","Slco1a4","Flt1","Dnah12","Dnah12","Gm12068","Gm12068","Trpc4","Trpc4","Arhgap45","Arhgap45","Klhl1","Alk","Slc6a20a","Cped1","2610307P16Rik","Dlx6os1","Prr5l","St18","Pdgfra","Pdgfra","Cntnap4","Baiap3","Rarb","Caln1","Ntng1","Cit","Ebf3","Ebf2","Slc17a7","Gm49678"
"Slc1a3","Slc1a3","Robo3","Robo3","Lmx1a","Lmx1a","Flt1","Adgrl4","Wdr49","Wdr49","Pkib","Gpr149","Myo5b","Dgkg","Inpp5d","Inpp5d","Elavl2","Pdcd7","Cped1","Eya2","Dlx6os1","Meis2","St18","Prr5l","Neu4","Neu4","Baiap3","Dync1i1","Cacna2d3","Kcnq5","Ptpn3","Cpne7","Ebf2","Ebf3","Satb2","Fam135b"
"Prex2","Rorb","D130009I18Rik","D130009I18Rik","Gmnc","Gmnc","Adgrl4","Slco1a4","Frmpd2","Frmpd2","Stac","Drd3","Ano1","Gm41414","Gm2629","Fyb","Adarb2","Ankrd55","Phldb2","Uaca","Igfbpl1","Igfbpl1","Sec14l5","Sec14l5","Cspg4","Cspg4","Dscam","","Rgs9","Neto1","Synpo2","Ptpn3","Postn","Postn","Sv2b","Satb2"
"Wdr17","Plpp3","Nwd2","Nwd2","Wdr86","Wdr86","Ptprb","Ptprb","Cfap299","Ccdc180","Drd3","Pkib","Dgkg","Ripor2","Runx1","Gm2629","Gm32647","Las1l","Uaca","Colec12","Gm38505","Dlx1","D7Ertd443e","D7Ertd443e","Ppfibp1","Vcan","Kcnb2","","Caln1","Rarb","Lef1","Zfp804b","Adgrd1","Adgrd1","Gm49678","Gria3"
"Gm6145","Gm6145","Scube1","Scube1","Slc4a5","Slc4a5","Mecom","Adgrf5","Ccdc180","Rgs22","Gpr149","Stac","Gm41414","Tro","Ptprc","Runx1","Kcnc2","Iqsec3","Eya2","Fbxl7","Dlx1","Tiam2","Mog","Mog","Sema3d","A930009A15Rik","Dync1i1","","Adamts3","Adamts3","Kcnc2","Kcnip4","4930438E09Rik","4930438E09Rik","Dpp10","Itga8"
"Gpc5","Gm3764","Chrna3","Chrna3","Col8a1","Col8a1","Adgrf5","Abcb1a","Wdr63","Unc5cl","Htr4","Prkar2b","Nkain3","Usp29","Fyb","Dock8","Galntl6","Slc7a14","Arhgap29","Phldb2","Ccnd2","Zfp704","Aspa","Aspa","A930009A15Rik","Sema3d","Frmd3","","Kcnq5","Kcnab1","Cpne7","Mctp2","Corin","Samd3","Itga8","Gm26871"
"Plpp3","Ttyh1","Clec18a","Clec18a","Kl","Kl","Abcb1a","Cyyr1","Rgs22","Lrrc36","Syt6","Col11a1","Nxph1","Frmpd3","Siglech","Ptprc","A330008L17Rik","Stau2","Cgnl1","Gm29683","Zfp704","Robo2","Mag","Edil3","Emid1","Shc4","Fam155a","","Gm10754","Gm10754","Mctp2","Kcnc2","Samd3","Corin","Pcsk5","Pcsk5"
"Atp1a2","Acsl3","Syt9","Syt9","4933429O19Rik","Col4a3","Cyyr1","Cldn5","Unc5cl","Spag17","Col11a1","Tcerg1l","Ryr2","Ly6h","Dock8","Siglech","Gm13629","Fstl5","Colec12","Cald1","Tmem131l","Dlx1as","Gjc3","Mag","Shc4","Emid1","Gria4","","Gnal","Lrtm1","Inpp4b","Cacna1g","Ctxn3","Ctxn3","Tafa1","Kalrn"
"Rorb","Slc4a4","Tex15","Gm12128","Col4a3","4933429O19Rik","Cldn5","Ushbp1","2010001K21Rik","Gm10714","Isl1","Isl1","Cacna2d2","Plcxd3","Csf3r","Csf3r","Alk","Slc4a3","Cp","Eya1","Nol4","Dcx","1700047M11Rik","1700047M11Rik","Vcan","Vxn","Ablim3","","Phactr1","Pde7b","Cit","Nell1","B130024G19Rik","Sema3a","Kcnh7","Mlip"
"Mertk","Rgs20","Gm12128","Chat","Rbm47","Trpv4","Ushbp1","Egfl7","Dnah6","Dnah3","Prkar2b","Sgcd","Slc8a1","Nkain3","Gm10790","Gm10790","Scn9a","Rnf157","Rbpms","Lamc1","Adarb2","Nfib","Fa2h","Fa2h","Megf11","Megf11","Usp29","","Lrtm1","Baiap2","Ano5","Grid2ip","Sema3a","B130024G19Rik","Tmem178","St8sia5"
