"Astro_1vAll","Astro_pw_pw","Chol_1vAll","Chol_pw_pw","ChP_1vAll","ChP_pw_pw","Endo_1vAll","Endo_pw_pw","Ependymal_1vAll","Ependymal_pw_pw","IoC_1vAll","IoC_pw_pw","LS_1vAll","LS_pw_pw","Micro_1vAll","Micro_pw_pw","MS_1vAll","MS_pw_pw","Mural_1vAll","Mural_pw_pw","Neuroblast_1vAll","Neuroblast_pw_pw","Oligo_1vAll","Oligo_pw_pw","OPC_1vAll","OPC_pw_pw","Sept_1vAll","Sept_pw_pw","Str_1vAll","Str_pw_pw","Thal_1vAll","Thal_pw_pw","TNoS_1vAll","TNoS_pw_pw","TT.IG.SH_1vAll","TT.IG.SH_pw_pw"
"Dtna","Paqr8","Chat","Necab3","Oca2","Oca2","Egfl7","Nostrin","Lrrc36","Cfap299","Sgcd","Ahr","Unc5d","Syt14","Myo1f","Ly86","Gm15680","Gm45321","Fbxl7","Adam12","Dlx1as","Mpped2","Trf","Ugt8a","Vxn","Epn2","Galntl6","","Gng7","Gng7","Slc17a6","Nell1os","5530401A14Rik","Clstn2","Sidt1","Sidt1"
"Cpe","Gabrb1","Necab3","1700003F12Rik","Trpv4","Kcne2","Nostrin","Klf2","Spag17","Dthd1","Crtac1","Npy1r","Ripor2","Gm44151","Ly86","Myo1f","Trpc5","Galntl6","Cald1","Nr2f2","Sox2ot","Sdk2","Ugt8a","Plp1","Itga9","6330576A10Rik","Scn9a","","Slit3","Gprin3","Vav3","Gabra4","Epha3","Tenm3","Khdrbs3","Arpp21"
"Acsl3","Cpe","1700003F12Rik","Ano1","Gm534","Fap","Klf2","Zfp366","Gm10714","Cdhr3","Ahr","Negr1","Usp29","Lrrfip1","Ikzf1","Ikzf1","Fstl5","Bend6","Bmp6","Pdgfrb","Gm4258","Ccnd2","Plp1","Pde4b","Epn2","Xylt1","Kcnc2","","Camk4","Camk4","Zmat4","Htr7","Gm11418","Shisa6","Ndst3","Tmem178"
"Nwd1","Gli3","Ano1","Tex15","Kcne2","Gm534","Zfp366","Clic5","C230072F16Rik","Tmem212","Tcerg1l","Cacng3","Trhde","Grm5","Selplg","Selplg","Dscam","Cdh4","Nr2f2","Cp","Pbx3","Sox11","Plekhh1","Plekhh1","Tnr","Tnr","Snhg11","","Neto1","Cpne5","Rnf220","Adgra1","Pgm5","Epha3","Nwd2","Mpped1"
"Gm3764","Prex2","Tspan18","Kcnma1","Fap","Abca4","Clic5","Ly6c1","Dthd1","Ttc29","Pde11a","Crtac1","Fam155a","Hectd2","Apbb1ip","Apbb1ip","Nrg3os","Atp1a3","Dlc1","Dlc1","C79798","Sox4","Pstpip2","Pstpip2","Xylt1","Abtb2","5330434G04Rik","","Arhgap10","Gabrg3","Nell1","Cntn6","Shisa6","4921534H16Rik","Kcnj6","Hs3st4"
"Paqr8","Gm20713","Cpne9","Tspan18","Gm50011","Rbm47","Ly6c1","Eng","Dnah3","2010001K21Rik","Npy1r","Sox1ot","Col25a1","Nol4l","Cyth4","Cyth4","Gm20642","Hcn2","Adam12","Grk5","Sdk2","C79798","Pde8a","C030029H02Rik","Arhgap31","Matn4","Car10","","Adcy5","A330015K06Rik","Grid2ip","Adamts17","Clstn2","Chrm2","Mpped1","Kcnh7"
"Sparcl1","Fam20a","Vav3","Kctd8","Abca4","Gm50011","Clec2d","Clec2d","Cdhr3","3300002A11Rik","Pde1a","Rerg","Nhs","Adgrb3","Cd84","Abca9","Gm48749","B230217J21Rik","Ror1","March6","Gm26936","C130071C03Rik","Zfp536","A230001M10Rik","Calcrl","Plpp4","C130073E24Rik","","Gprin3","Pde1b","Gm29478","Rab3c","Prkg2","Eps8","Galnt9","Prkce"
"Gm20713","Htra1","Cpne4","Cpne4","Cdh3","Eps8l2","Tie1","Emcn","Tmem212","Wdr63","Ntng2","Pde8b","Hs3st2","Nyap2","Nckap1l","Nckap1l","Samd5","","Gm29683","Sdc2","Tiam2","Nol4","C030029H02Rik","Mobp","Lhfpl3","Dscam","Unc5d","","Slc2a13","Dgkb","Zfp804b","Tmem132c","Grm8","Gm12296","Kcnt2","Ipcef1"
"Bmpr1b","Gpc5","Kcnma1","Kcnip1","Slc13a4","Slc13a4","Paqr5","Abcg2","Ak9","Ak7","Gpr26","Htr4","Vsnl1","Hectd2os","Unc93b1","Csf1r","Iqsec3","","Bicc1","Add3","Tox3","Ezh2","Mobp","Arhgap23","Gm4876","Lhfpl3","Zfp804b","","Ryr3","Pde10a","Ccdc136","Vwc2","Tmem163","Fam189a1","Fhl2","Cdh9"
"Farp1","Ndrg2","Kctd8","Cacnb3","Otx2os1","Otx2os1","Eng","Tie1","Hydin","Fbxl13","Wdfy3","Slco3a1","Pip5k1b","4930415C11Rik","Abca9","Cd84","Ankrd55","","9530026P05Rik","Pld1","Mpped2","2610307P16Rik","Enpp2","Tspan2","Matn4","Myt1","Gm32509","","Plppr1","Lmo7","Cacna1g","Ano5","Nrp2","Klhl33","St8sia5","Dpp10"
"Sfxn5","9430041J12Rik","Minar1","Cpne9","Eps8l2","D630024D03Rik","Rasip1","Rasip1","Ak7","Hydin","Gm45904","Scn5a","Sntg1","Trhde","Csf1r","Fgd2","Srrm4","","Tgfbr3","Sept11","Sox4","Ccdc88a","A230001M10Rik","Frmd5","Plpp4","Ppfibp1","Kcnh7","","Dlgap2","Lrrtm3","Btbd11","Syt7","Tenm3","Zbtb7c","Cabp1","Adcy1"
"Slc39a12","Dtna","Cadps2","Cadps2","D630024D03Rik","Folr1","Abcg2","Sox17","Ttc29","Dnah10","Nrp2","Slco5a1","Sez6l","Cnnm1","Fgd2","Fcrls","Nrg3","","Pdgfrb","Prkag2","Dcx","Dclk2","Edil3","Mast3","Abtb2","Cacng4","Snhg14","","Kcnab1","Gsg1l","Cntn6","Ntng1","4921534H16Rik","Pcsk1","Cdh13","Pde4a"
"Gli3","Hepacam","Vav2","Minar1","Drc7","Col4a4","Sox17","Hmcn1","Cfap61","Armc4","Sox1ot","Wdfy3","Dscam","Rasgrf2","Fcrls","Itgam","Pdcd7","","Eya1","","Dpysl3","Gm4258","Map7","4930420G21Rik","Sox10","Gm32509","Zmat4","","Unc13c","Gpr158","Gm13629","Ptpn4","Epb41l4a","Gm11418","Csmd2","Synpo"
"Npas3","Gpm6b","Cacnb3","Nr4a2","Baiap2l1","Baiap2l1","Igfbp7","Cxcl12","Armc4","Adgb","Sntb1","Galnt18","Grip1","Tafa5","Itgam","Unc93b1","Cacna2d2","","Pld1","","Bcl11a","Plppr3","Arhgap23","Pde8a","Gjc3","Brinp3","Fstl5","","Baiap2","Ppp3ca","Hdac9","Cntn4","Sema5a","Tmem163","Ptprd","Grin2b"
"Pitpnc1","Gja1","Gm29478","Vav3","Col4a4","Prlr","Emcn","Xdh","Ttc21a","C230072F16Rik","Furin","Furin","Frmpd3","","Mir142hg","Bin2","Elavl4","","Airn","","Robo2","Jpt1","Mbp","Anln","Myt1","Itga9","Kcnj3","","Lmo7","Cacnb2","Nell1os","Chst9","Pcsk1","Prkg2","Nell2","C1ql3"
"Fam20a","Pla2g7","Kcnip1","Gdpd5","Folr1","Cdh3","Esam","Sp100","Dnah11","Fam216b","Rreb1","Syn2","Hcn1","","Bin2","Mir142hg","Agbl4","","Lamc1","","Nfib","Tubb3","Rnf220","Ninj2","6330576A10Rik","Slc35f1","Slc35f4","","Ablim2","Gm49906","Nxph1","Inpp4b","Gm12296","Slit1","Chrm3","Runx2"
"Ptprz1","Bmpr1b","Nr4a2","Gfra1","Slc6a20a","Col9a3","Cxcl12","Pecam1","Cfap77","Lmntd1","Zmat4","Wscd2","Sh3rf3","","Slco2b1","Abi3","Vwc2l","","Grk5","","Maml3","Nasp","Tspan2","Mbp","Cacng4","Spon1","Pcbp3","","Kctd16","Gm48003","Htr7","Adarb1","4930511M06Rik","Ephb2","Ext1","Serpini1"
"Ndrg2","Tprkb","Gm27151","Gm27151","Esrrb","Esrrb","Xdh","Ly6a","Fbxl13","Crocc2","Scn5a","Bmper","Meg3","","Abi3","Gna15","Rtl4","","Ptgds","","Meis2","Tox3","Tubb4a","Ermn","Armh4","Dpyd","Ptpro","","Pdzd2","Slit3","Vwc2","Hdac9","Asic2","Pgm5","Vxn","Ndst3"
"Nhsl1","Etnppl","Lrrc3b","Plch2","Arhgap28","Drc7","Hmcn1","Erg","3300002A11Rik","Zfp474","Thsd7b","Sgcz","Pld5","","Gna15","Gm50035","5330434G04Rik","","Stk39","","Vcan","Pbx3","Anln","Ppp1r16b","Prkcq","Usp24","Ahi1","","Pde7b","Gm10848","Kcnip4","Necab1","Ntng1","Rab3b","Nrg3","R3hdm1"
"Lama2","Glul","Plch2","Gm4128","Prlr","Htr2c","Pecam1","Igfbp7","Cfap65","Ttc21a","Gm38505","Glt1d1","Snhg11","","P2ry6","P2ry6","Gm32509","","Akap13","","Syne2","Dpysl3","4930420G21Rik","Hapln2","Dscam","Sema5b","Cadps","","Cpne5","Fstl4","4930509J09Rik","Ccdc136","Chrm2","5530401A14Rik","Etl4","Phf24"
"Nfia","Acsbg1","Ror2","Vav2","Col9a3","Msx1","Ly6a","Esam","Cfap43","Cfap61","Slco3a1","Foxp2","Grm5","","Gm50035","Ctss","Chrm2","","Svil","","Myt1","Pola1","Ermn","Phlpp1","Sh3bp4","Chst11","Epha5","","Pde1b","Ablim2","Gm20754","Kcnq3","Tshz2","Adamts18","Sphkap","Khdrbs3"
"Ttyh1","Tspan7","Klhl1","Necab2","Cgnl1","F5","Sp100","Itm2a","Ccdc146","Dnah5","Fstl1","Pde11a","Gm15261","","Adap2","Blnk","Snhg11","","Utrn","","Auts2","Nrxn3","Slc24a2","Map7","Bcas1","Arhgap24","Camta1","","Osbpl8","5330417C22Rik","Atp10a","Rims1","Klhl33","Man2a1","Grin2a","Faah"
"Msi2","Farp1","Gfra1","Apba1","Folr2","Folr2","Erg","Slc7a5","Vwa3a","Cfap77","Clic6","Bcl11b","Ppm1e","","Ctss","8030442B05Rik","Cntnap5c","","Apod","","Ezh2","Asxl3","St6galnac3","Tubb4a","Kcnh8","Kcnip3","Gm45321","","Sh3rf2","Sh2d5","Fhod3","Ildr2","Kitl","Cpne6","Prickle1","Miat"
"Glul","Mmd2","Ebf1","Pou6f2","Msx1","Steap2","Slc7a5","Slfn5","Dnah10","Iqca","Rerg","Gm15577","Ralyl","","Lcp2","Hk2","Lingo2","","Rbms1","","Plppr3","Gm26936","Ninj2","Cdk19","Sh3d19","Evi5l","Pdcd7","","Mctp1","Strn","Srrm4","Gm1992","Nr2f2","Gm42303","Fam135b","B230209E15Rik"
"Apoe","Prdx6","Prkcq","Ptprr","F5","Arhgap28","Itm2a","Rgs5","Fam216b","Ttll6","Slco5a1","Gpr26","Fgf12","","Pik3ap1","Pik3ap1","Ankrd24","","Wls","","Sox11","Meis1","Dock10","Trf","Nxph1","4932443L11Rik","Cacna1d","","Gm15810","Zfyve28","Adgra1","Cacna1c","Gm42303","Ptprd","Gm20642","Ptk2"
"Htra1","St3gal4","Gdpd5","Rspo3","Steap2","Nhsl2","Slfn5","Car4","Adgb","Ect2l","Pld5","Ephb1","Lingo2","","Blnk","Lcp2","Ube3a","","2610307P16Rik","","Dclk2","Lncppara","Hapln2","Fnbp1","Lpcat2","Stk32a","4930555F03Rik","","Cacnb2","Traip","Gm32647","Epb41l4b","Elavl2","Grm8","Miat","A830018L16Rik"
"Phka1","Adk","Armh4","Ror2","Gm29538","Sulf1","Cdh5","Pglyrp1","Ttll6","Ak9","Vat1l","Syt6","Arhgap6","","8030442B05Rik","Ifitm10","Unc5d","","Neat1","","Nrxn3","Gm38505","Mast3","Gm42413","Gm32509","Rnf144a","Grb10","","Cnksr2","Ngef","Elavl2","Prr16","Lrrc3b","Prkg1","Syt17","Grin2a"
"Bcan","Gm12239","Car10","Sema3e","Slc29a4","Slc29a4","Car4","Grrp1","Lmntd1","Cfap221","Grin3a","Ptpro","D030068K23Rik","","Hk2","Irf8","C130073E24Rik","","Arhgap6","","Pbx1","Auts2","Sox10","Mapt","Sulf2","4930445B16Rik","Ube3a","","Gpr158","Plppr1","Cpne9","Eml1","Nefm","Fbn2","C1ql3","Large1"
"Sat1","Ntrk2","Cnnm2","Dach1","Atp2b3","9330185C12Rik","Rgs5","Fn1","Crocc2","Dnah11","Fat3","Ntng2","Dlgap1","","Fli1","Tgfbr1","Grip1","","Ust","","Etv1","Astn1","Gatm","St6galnac3","Tns3","Gm2164","Ece2","","Erc2","Ctnna3","Scn9a","Slc41a2","Calb2","Calb2","Nrg3os","Stx1a"
"Phkg1","Slc6a11","Apba1","Gabbr1","Gm29266","Enpp2","Fn1","Mecom","Ccdc170","Cfap46","Cacng3","Pde1a","Snhg14","","Irf8","Capn3","Grik1","","Prkag2","","Gng2","Kat6b","Plcl1","Nkain1","Arhgap24","Nav1","Aff2","","Prkch","Cacna2d3","Adamts17","Rims3","Rasal2","Nefm","Ipcef1","Sv2b"
