ensemblID,Symbol,EntrezID,logFC
ENSMUSG00000107755,Mageb16-ps2,NA,-2.90819167703085
ENSMUSG00000037438,Uqcrh-ps1,NA,-2.57057297534125
ENSMUSG00000025081,Tdrd1,83561,-1.65781364418926
ENSMUSG00000105711,Gm42598,NA,-1.62576174863328
ENSMUSG00000015852,Fcrls,80891,-1.60728186533371
ENSMUSG00000105700,Gm42772,NA,-1.4914010425839
ENSMUSG00000019890,Nts,67405,-1.46190262893824
ENSMUSG00000104655,Gm43317,NA,-1.43127092670699
ENSMUSG00000104661,Gm42768,NA,-1.40003453193165
ENSMUSG00000106579,Gm42771,NA,-1.33047736841732
ENSMUSG00000106244,Gm43046,NA,-1.32821445769226
ENSMUSG00000106408,Gm43321,NA,-1.31582285855402
ENSMUSG00000028341,Nr4a3,18124,-1.26490496578042
ENSMUSG00000046561,Arsj,271970,-1.25275030501054
ENSMUSG00000040536,Necab1,69352,-1.24022144375276
ENSMUSG00000009394,Syn2,20965,-1.2326410830988
ENSMUSG00000064293,Cntn4,269784,-1.17379516673535
ENSMUSG00000090698,Apold1,381823,-1.15773005849595
ENSMUSG00000105922,Gm42769,NA,-1.1378544673888
ENSMUSG00000030102,Itpr1,16438,-1.1208172621817
ENSMUSG00000021700,Rab3c,67295,-1.09045191658029
ENSMUSG00000038530,Rgs4,19736,-1.0664755512924
ENSMUSG00000037492,Zmat4,320158,-1.05355172988038
ENSMUSG00000050587,Lrrc4c,241568,-1.02674521473698
ENSMUSG00000039419,Cntnap2,66797,-1.01112148003774
ENSMUSG00000046178,Nxph1,18231,-0.999275037427406
ENSMUSG00000024261,Syt4,20983,-0.992618741336794
ENSMUSG00000046447,Camk2n1,66259,-0.969201847527462
ENSMUSG00000071265,1700086L19Rik,NA,-0.935462052631353
ENSMUSG00000029878,Dbpht2,386753,-0.929751037900956
ENSMUSG00000066189,Cacng3,54376,-0.927491175166568
ENSMUSG00000010086,Rnf112,22671,-0.918403091730474
ENSMUSG00000026834,Acvr1c,269275,-0.915850475293664
ENSMUSG00000106292,Gm43174,NA,-0.913367610562923
ENSMUSG00000020297,Nsg2,18197,-0.900645334234016
ENSMUSG00000024268,Celf4,108013,-0.891902370908453
ENSMUSG00000108146,Gm43889,NA,-0.88673022604624
ENSMUSG00000024736,Tmem132a,98170,-0.882767965665911
