"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"1","-1","CC","GO:0097060","synaptic membrane","135/1179","443/14841",2.16173941283823e-45,1.26029407768469e-42,8.85175401677969e-43,135
"2","-1","CC","GO:0099572","postsynaptic specialization","124/1179","426/14841",2.28311199239401e-39,6.65527145782853e-37,4.67437139495405e-37,124
"3","-1","CC","GO:0098984","neuron to neuron synapse","120/1179","426/14841",1.54093293703902e-36,2.99454634097916e-34,2.10323828950238e-34,120
"4","-1","CC","GO:0032279","asymmetric synapse","114/1179","398/14841",1.79512247046746e-35,2.61639100070632e-33,1.83763852897853e-33,114
"5","-1","CC","GO:0014069","postsynaptic density","111/1179","390/14841",2.8759013366107e-34,3.35330095848808e-32,2.35521183145592e-32,111
"6","-1","CC","GO:0099240","intrinsic component of synaptic membrane","79/1179","233/14841",2.78291656694834e-30,2.70406726421814e-28,1.89921849919808e-28,79
"7","-1","CC","GO:0045211","postsynaptic membrane","90/1179","307/14841",5.94352114570766e-29,4.9501040399251e-27,3.47673642959441e-27,90
"8","-1","CC","GO:0042734","presynaptic membrane","68/1179","189/14841",5.75882974840117e-28,4.19674717914735e-26,2.94761154227376e-26,68
"9","-1","CC","GO:0150034","distal axon","95/1179","356/14841",4.85148506130209e-27,3.14268421193235e-25,2.20728384660411e-25,95
"10","-1","CC","GO:0098936","intrinsic component of postsynaptic membrane","63/1179","170/14841",8.02286824480535e-27,4.49782576479935e-25,3.15907596372113e-25,63
"11","-1","CC","GO:0099699","integral component of synaptic membrane","71/1179","213/14841",8.48646370716858e-27,4.49782576479935e-25,3.15907596372113e-25,71
"12","-1","CC","GO:0099055","integral component of postsynaptic membrane","58/1179","160/14841",3.25487953441423e-24,1.58132897380291e-22,1.1106562621817e-22,58
"13","-1","CC","GO:1902495","transmembrane transporter complex","82/1179","318/14841",2.09389580955146e-22,9.39031736129618e-21,6.59534793453862e-21,82
"14","-1","CC","GO:0098982","GABA-ergic synapse","45/1179","106/14841",2.35302390767125e-22,9.79866384408814e-21,6.88215263221141e-21,45
"15","-1","CC","GO:1990351","transporter complex","84/1179","338/14841",8.65093692977309e-22,3.36233082003847e-20,2.36155401100472e-20,84
"16","-1","CC","GO:0034702","ion channel complex","69/1179","248/14841",5.20425761610295e-21,1.89630136886751e-19,1.33187908727898e-19,69
"17","-1","CC","GO:0098948","intrinsic component of postsynaptic specialization membrane","43/1179","109/14841",6.27401288786644e-20,2.15161736095655e-18,1.51120186587e-18,43
"18","-1","CC","GO:0043209","myelin sheath","61/1179","211/14841",1.26631910664001e-19,4.10146688428404e-18,2.88069083323371e-18,61
"19","-1","CC","GO:0008021","synaptic vesicle","63/1179","225/14841",1.93370779142684e-19,5.93342969685184e-18,4.16738133443236e-18,63
"20","-1","CC","GO:0099634","postsynaptic specialization membrane","47/1179","133/14841",2.47575164477336e-19,7.21681604451435e-18,5.0687757358781e-18,47
"21","-1","CC","GO:0070382","exocytic vesicle","66/1179","247/14841",3.96839103984094e-19,1.1017009410606e-17,7.73786523557957e-18,66
"22","-1","CC","GO:0034703","cation channel complex","57/1179","194/14841",8.77598597458959e-19,2.32563628326624e-17,1.63342514072505e-17,57
"23","-1","CC","GO:0099503","secretory vesicle","97/1179","481/14841",4.22283699098704e-18,1.07039737641106e-16,7.51800269791285e-17,97
"24","-1","CC","GO:0044306","neuron projection terminus","56/1179","199/14841",1.58404662457793e-17,3.84791325887055e-16,2.70260586386322e-16,56
"25","-1","CC","GO:0099060","integral component of postsynaptic specialization membrane","39/1179","103/14841",1.81992968610144e-17,4.24407602798857e-16,2.98085325428826e-16,39
"26","-1","CC","GO:0030427","site of polarized growth","55/1179","200/14841",9.51667366510438e-17,2.13393105644456e-15,1.49877977964599e-15,55
"27","-1","CC","GO:0030133","transport vesicle","74/1179","329/14841",1.01060583464963e-16,2.18216000592864e-15,1.53265368295791e-15,74
"28","-1","CC","GO:0030426","growth cone","54/1179","195/14841",1.30355773546856e-16,2.71419342777919e-15,1.90633067329801e-15,54
"29","-1","CC","GO:0043679","axon terminus","48/1179","178/14841",2.00193436820365e-14,4.02457840228527e-13,2.82668772860697e-13,48
"30","-1","CC","GO:0098839","postsynaptic density membrane","34/1179","98/14841",4.36867604505588e-14,8.48979378089194e-13,5.96285958430435e-13,34
"31","-1","CC","GO:0099146","intrinsic component of postsynaptic density membrane","30/1179","79/14841",8.6469353684657e-14,1.62618171606952e-12,1.14215886530837e-12,30
"32","-1","CC","GO:0098889","intrinsic component of presynaptic membrane","37/1179","121/14841",2.97716598727573e-13,5.42402428306797e-12,3.8095972666127e-12,37
"33","-1","CC","GO:0044309","neuron spine","49/1179","199/14841",4.70421663238665e-13,8.31078271721642e-12,5.83713004784181e-12,49
"34","-1","CC","GO:0060076","excitatory synapse","28/1179","78/14841",2.93257715193512e-12,5.02850729287699e-11,3.53180344304261e-11,28
"35","-1","CC","GO:0030672","synaptic vesicle membrane","33/1179","108/14841",5.85582264682758e-12,9.48317945305688e-11,6.66057020355534e-11,33
"36","-1","CC","GO:0099501","exocytic vesicle membrane","33/1179","108/14841",5.85582264682758e-12,9.48317945305688e-11,6.66057020355534e-11,33
"37","-1","CC","GO:0043197","dendritic spine","46/1179","194/14841",1.01348589646700e-11,1.59692507470342e-10,1.1216102808696e-10,46
"38","-1","CC","GO:0120111","neuron projection cytoplasm","19/1179","39/14841",1.6252834997975e-11,2.49352705363669e-10,1.7513442698649e-10,19
"39","-1","CC","GO:0099061","integral component of postsynaptic density membrane","26/1179","73/14841",2.15938274943039e-11,3.2280003664562e-10,2.26720617956389e-10,26
"40","-1","CC","GO:0099056","integral component of presynaptic membrane","32/1179","108/14841",3.04243644854962e-11,4.43435112376108e-10,3.11449415391001e-10,32
"41","-1","CC","GO:0030658","transport vesicle membrane","38/1179","148/14841",5.23130328879484e-11,7.26403741484986e-10,5.10194195969413e-10,38
"42","-1","CC","GO:0034705","potassium channel complex","27/1179","81/14841",5.23309727999475e-11,7.26403741484986e-10,5.10194195969413e-10,27
"43","-1","CC","GO:0043204","perikaryon","35/1179","130/14841",7.23550313567809e-11,9.80999611186122e-10,6.89011192112308e-10,35
"44","-1","CC","GO:0048786","presynaptic active zone","29/1179","96/14841",1.5246913587678e-10,2.02021605036733e-09,1.41891133626955e-09,29
"45","-1","CC","GO:0044304","main axon","26/1179","80/14841",2.24932795337507e-10,2.91412932626149e-09,2.04675689792492e-09,26
"46","-1","CC","GO:0098797","plasma membrane protein complex","81/1179","496/14841",2.73730939091666e-10,3.46924211935742e-09,2.43664382852764e-09,81
"47","-1","CC","GO:0043195","terminal bouton","25/1179","76/14841",3.73020341784175e-10,4.62703955872711e-09,3.24983007735821e-09,25
"48","-1","CC","GO:0098685","Schaffer collateral - CA1 synapse","31/1179","113/14841",5.272160274138e-10,6.40347799963012e-09,4.4975226899993e-09,31
"49","-1","CC","GO:0008076","voltage-gated potassium channel complex","23/1179","67/14841",7.20677208275364e-10,8.57458800866403e-09,6.02241533875653e-09,23
"50","-1","CC","GO:0032839","dendrite cytoplasm","14/1179","26/14841",1.43997604860645e-09,1.67901207267512e-08,1.1792645955956e-08,14
"51","1","CC","GO:0009897","external side of plasma membrane","191/2110","347/14841",4.82263497155775e-73,2.86946780807686e-70,2.37578228072529e-70,191
"52","1","CC","GO:0000323","lytic vacuole","153/2110","471/14841",1.03728545929908e-24,2.05728282760983e-22,1.70333191211217e-22,153
"53","1","CC","GO:0005764","lysosome","153/2110","471/14841",1.03728545929908e-24,2.05728282760983e-22,1.70333191211217e-22,153
"54","1","CC","GO:0062023","collagen-containing extracellular matrix","113/2110","312/14841",9.1595413335029e-23,1.36248177335856e-20,1.1280698273893e-20,113
"55","1","CC","GO:0045121","membrane raft","122/2110","355/14841",3.21662385843847e-22,3.82778239154179e-20,3.16922098052464e-20,122
"56","1","CC","GO:0098857","membrane microdomain","122/2110","356/14841",4.22994629278964e-22,4.19469674034973e-20,3.47300853513255e-20,122
"57","1","CC","GO:0031012","extracellular matrix","130/2110","406/14841",1.61361988650855e-20,1.37157690353227e-18,1.13560016073083e-18,130
"58","1","CC","GO:0030312","external encapsulating structure","130/2110","407/14841",2.04946758078773e-20,1.52429151321087e-18,1.26204056290613e-18,130
"59","1","CC","GO:0043235","receptor complex","115/2110","368/14841",2.21972613960077e-17,1.46748561451384e-15,1.21500799220253e-15,115
"60","1","CC","GO:0042611","MHC protein complex","21/2110","23/14841",2.8158519415556e-16,1.67543190522558e-14,1.38717758805055e-14,21
"61","1","CC","GO:0030139","endocytic vesicle","69/2110","192/14841",3.33353959355097e-14,1.80314187105712e-12,1.49291533950417e-12,69
"62","1","CC","GO:0030055","cell-substrate junction","62/2110","171/14841",4.22408173873085e-13,2.09444052878738e-11,1.73409671379477e-11,62
"63","1","CC","GO:0005925","focal adhesion","59/2110","160/14841",6.74904370291382e-13,3.06765551974094e-11,2.53987223925477e-11,59
"64","1","CC","GO:0098636","protein complex involved in cell adhesion","29/2110","50/14841",7.21801298762574e-13,3.06765551974094e-11,2.53987223925477e-11,29
"65","1","CC","GO:0098802","plasma membrane signaling receptor complex","62/2110","175/14841",1.37664129620174e-12,5.46067714160023e-11,4.52117983594677e-11,62
"66","1","CC","GO:0098797","plasma membrane protein complex","129/2110","496/14841",1.53268685883791e-12,5.69967925630347e-11,4.7190621706325e-11,129
"67","1","CC","GO:0045335","phagocytic vesicle","44/2110","103/14841",1.68475643115156e-12,5.89664750903046e-11,4.88214247541133e-11,44
"68","1","CC","GO:0005911","cell-cell junction","119/2110","453/14841",5.68885296928247e-12,1.88048195373504e-10,1.55694923369836e-10,119
"69","1","CC","GO:0015629","actin cytoskeleton","115/2110","453/14841",1.31446957556134e-10,4.11636524978420e-09,3.40815380256347e-09,115
"70","1","CC","GO:0001772","immunological synapse","24/2110","43/14841",2.11970397198938e-10,6.30611931666841e-09,5.22116557311068e-09,24
"71","1","CC","GO:0045178","basal part of cell","72/2110","242/14841",2.78618825420747e-10,7.89420005358783e-09,6.53602056626113e-09,72
"72","1","CC","GO:0042613","MHC class II protein complex","11/2110","11/14841",4.691187036464e-10,1.26875285758913e-08,1.05046676223213e-08,11
"73","1","CC","GO:0001726","ruffle","48/2110","145/14841",6.07616017099626e-09,1.57187621814903e-07,1.3014384256413e-07,48
"74","1","CC","GO:0009925","basal plasma membrane","65/2110","225/14841",7.48913787977705e-09,1.85668209936139e-07,1.53724409111213e-07,65
"75","1","CC","GO:0008305","integrin complex","18/2110","31/14841",1.69722751795464e-08,4.03940149273204e-07,3.34443148801167e-07,18
