"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"76","1","CC","GO:0042612","MHC class I protein complex","11/2110","13/14841",2.77163657737649e-08,6.34278370591927e-07,5.25152193608176e-07,11
"77","1","CC","GO:0005604","basement membrane","37/2110","104/14841",3.91739269423029e-08,8.63277278913711e-07,7.14752351227982e-07,37
"78","1","CC","GO:0061702","inflammasome complex","12/2110","16/14841",6.90941115633338e-08,1.46824987072084e-06,1.2156407598361e-06,12
"79","1","CC","GO:0030670","phagocytic vesicle membrane","13/2110","19/14841",1.09700438429608e-07,2.25075037467643e-06,1.86351379982056e-06,13
"80","1","CC","GO:0001891","phagocytic cup","14/2110","22/14841",1.37335466870341e-07,2.72382009292844e-06,2.25519292966034e-06,14
"81","1","CC","GO:0045177","apical part of cell","89/2110","369/14841",2.06035065927324e-07,3.95454400731477e-06,3.27417354342912e-06,89
"82","1","CC","GO:0044853","plasma membrane raft","40/2110","124/14841",2.4037559040694e-07,4.46948363412904e-06,3.70051895758052e-06,40
"83","1","CC","GO:0031252","cell leading edge","92/2110","387/14841",2.6005957009159e-07,4.6889528546817e-06,3.88222898892709e-06,92
"84","1","CC","GO:0016324","apical plasma membrane","70/2110","277/14841",6.62876131431095e-07,1.16003323000442e-05,9.60452103745364e-06,70
"85","1","CC","GO:0016323","basolateral plasma membrane","55/2110","201/14841",7.29818523264369e-07,1.24069148954943e-05,1.02723328988789e-05,55
"86","1","CC","GO:0032398","MHC class Ib protein complex","9/2110","11/14841",9.79496790257517e-07,1.61889052834229e-05,1.34036402877344e-05,9
"87","1","CC","GO:0005765","lysosomal membrane","50/2110","180/14841",1.42178424313032e-06,2.22621480174353e-05,1.84319951740995e-05,50
"88","1","CC","GO:0098852","lytic vacuole membrane","50/2110","180/14841",1.42178424313032e-06,2.22621480174353e-05,1.84319951740995e-05,50
"89","1","CC","GO:0042101","T cell receptor complex","10/2110","14/14841",1.91315381971726e-06,2.91878595572249e-05,2.4166153512218e-05,10
"90","1","CC","GO:0005770","late endosome","58/2110","223/14841",2.21910032130333e-06,3.3009117279387e-05,2.73299723781568e-05,58
"91","1","CC","GO:0005902","microvillus","28/2110","82/14841",4.33431894252293e-06,6.29004822146621e-05,5.20785947394283e-05,28
"92","1","CC","GO:0001725","stress fiber","28/2110","84/14841",7.35267586819154e-06,0.000100587040630726,8.32812649538786e-05,28
"93","1","CC","GO:0097517","contractile actin filament bundle","28/2110","84/14841",7.35267586819154e-06,0.000100587040630726,8.32812649538786e-05,28
"94","1","CC","GO:0032432","actin filament bundle","30/2110","93/14841",7.43836939117976e-06,0.000100587040630726,8.32812649538786e-05,30
"95","1","CC","GO:0005581","collagen trimer","24/2110","67/14841",8.11741263187993e-06,0.00010733023368819,8.88643067068961e-05,24
"96","1","CC","GO:0043230","extracellular organelle","28/2110","85/14841",9.49241629763157e-06,0.000120169951001932,9.94949793346378e-05,28
"97","1","CC","GO:0065010","extracellular membrane-bounded organelle","28/2110","85/14841",9.49241629763157e-06,0.000120169951001932,9.94949793346378e-05,28
"98","1","CC","GO:0009898","cytoplasmic side of plasma membrane","44/2110","162/14841",1.11532673680837e-05,0.000138254043416871,0.000114467744040859,44
"99","1","CC","GO:0043202","lysosomal lumen","11/2110","19/14841",1.17148401341189e-05,0.000142251630200016,0.000117777554946674,11
"100","1","CC","GO:0098858","actin-based cell projection","49/2110","190/14841",1.68991332163786e-05,0.000201099685274906,0.000166500933584531,49
