ensembl,gene,new_clumn
ENSMUSG00000024268,Celf4,LS_In.D
ENSMUSG00000024897,Apba1,LS_In.D
ENSMUSG00000025104,Hdgfl3,LS_In.D
ENSMUSG00000026585,Kifap3,LS_In.D
ENSMUSG00000027546,Atp9a,LS_In.D
ENSMUSG00000028176,Lrrc7,LS_In.D
ENSMUSG00000028524,Sgip1,LS_In.D
ENSMUSG00000029053,Prkcz,LS_In.D
ENSMUSG00000029516,Cit,LS_In.D
ENSMUSG00000030839,Sergef,LS_In.D
ENSMUSG00000031099,Smarca1,LS_In.D
ENSMUSG00000033676,Gabrb3,LS_In.D
ENSMUSG00000034796,Cpne7,LS_In.D
ENSMUSG00000034958,Atcay,LS_In.D
ENSMUSG00000035566,Pcdh17,LS_In.D
ENSMUSG00000035653,Lrfn5,LS_In.D
ENSMUSG00000036667,Tcaf1,LS_In.D
ENSMUSG00000037386,Rims2,LS_In.D
ENSMUSG00000037492,Zmat4,LS_In.D
ENSMUSG00000039419,Cntnap2,LS_In.D
ENSMUSG00000040037,Negr1,LS_In.D
ENSMUSG00000040785,Ttc3,LS_In.D
ENSMUSG00000041852,Tcf20,LS_In.D
ENSMUSG00000046178,Nxph1,LS_In.D
ENSMUSG00000049252,Lrp1b,LS_In.D
ENSMUSG00000049583,Grm5,LS_In.D
ENSMUSG00000050587,Lrrc4c,LS_In.D
ENSMUSG00000052698,Tln2,LS_In.D
ENSMUSG00000056755,Grm7,LS_In.D
ENSMUSG00000061911,Myt1l,LS_In.D
ENSMUSG00000062296,Trank1,LS_In.D
ENSMUSG00000064293,Cntn4,LS_In.D
ENSMUSG00000097451,Rian,LS_In.D
ENSMUSG00000008658,Rbfox1,LS_In.M
ENSMUSG00000018474,Chd3,LS_In.M
ENSMUSG00000021301,Hecw1,LS_In.M
ENSMUSG00000021373,Cap2,LS_In.M
ENSMUSG00000021448,Shc3,LS_In.M
ENSMUSG00000025104,Hdgfl3,LS_In.M
ENSMUSG00000026585,Kifap3,LS_In.M
ENSMUSG00000027419,Pcsk2,LS_In.M
ENSMUSG00000027546,Atp9a,LS_In.M
ENSMUSG00000028176,Lrrc7,LS_In.M
ENSMUSG00000028524,Sgip1,LS_In.M
ENSMUSG00000029053,Prkcz,LS_In.M
ENSMUSG00000029405,G3bp2,LS_In.M
ENSMUSG00000029516,Cit,LS_In.M
ENSMUSG00000033676,Gabrb3,LS_In.M
ENSMUSG00000035653,Lrfn5,LS_In.M
ENSMUSG00000036667,Tcaf1,LS_In.M
ENSMUSG00000037386,Rims2,LS_In.M
ENSMUSG00000039419,Cntnap2,LS_In.M
ENSMUSG00000040785,Ttc3,LS_In.M
ENSMUSG00000041852,Tcf20,LS_In.M
ENSMUSG00000046178,Nxph1,LS_In.M
ENSMUSG00000049583,Grm5,LS_In.M
ENSMUSG00000052698,Tln2,LS_In.M
ENSMUSG00000061911,Myt1l,LS_In.M
ENSMUSG00000062296,Trank1,LS_In.M
ENSMUSG00000064293,Cntn4,LS_In.M
ENSMUSG00000097451,Rian,LS_In.M
ENSMUSG00000009394,Syn2,LS_In.N
ENSMUSG00000021301,Hecw1,LS_In.N
ENSMUSG00000021700,Rab3c,LS_In.N
ENSMUSG00000022883,Robo1,LS_In.N
ENSMUSG00000024268,Celf4,LS_In.N
ENSMUSG00000024897,Apba1,LS_In.N
ENSMUSG00000028524,Sgip1,LS_In.N
ENSMUSG00000029516,Cit,LS_In.N
ENSMUSG00000030839,Sergef,LS_In.N
ENSMUSG00000031099,Smarca1,LS_In.N
ENSMUSG00000034796,Cpne7,LS_In.N
ENSMUSG00000037386,Rims2,LS_In.N
ENSMUSG00000037492,Zmat4,LS_In.N
ENSMUSG00000039419,Cntnap2,LS_In.N
ENSMUSG00000040536,Necab1,LS_In.N
ENSMUSG00000064293,Cntn4,LS_In.N
ENSMUSG00000097451,Rian,LS_In.N
ENSMUSG00000008658,Rbfox1,LS_In.O
ENSMUSG00000009394,Syn2,LS_In.O
ENSMUSG00000018474,Chd3,LS_In.O
ENSMUSG00000020297,Nsg2,LS_In.O
ENSMUSG00000021301,Hecw1,LS_In.O
ENSMUSG00000021700,Rab3c,LS_In.O
ENSMUSG00000022883,Robo1,LS_In.O
ENSMUSG00000024268,Celf4,LS_In.O
ENSMUSG00000024897,Apba1,LS_In.O
ENSMUSG00000025104,Hdgfl3,LS_In.O
ENSMUSG00000027419,Pcsk2,LS_In.O
ENSMUSG00000028176,Lrrc7,LS_In.O
ENSMUSG00000028524,Sgip1,LS_In.O
ENSMUSG00000029405,G3bp2,LS_In.O
ENSMUSG00000030839,Sergef,LS_In.O
ENSMUSG00000033676,Gabrb3,LS_In.O
ENSMUSG00000034796,Cpne7,LS_In.O
ENSMUSG00000035653,Lrfn5,LS_In.O
ENSMUSG00000037386,Rims2,LS_In.O
ENSMUSG00000039419,Cntnap2,LS_In.O
ENSMUSG00000040536,Necab1,LS_In.O
ENSMUSG00000040785,Ttc3,LS_In.O
ENSMUSG00000049252,Lrp1b,LS_In.O
ENSMUSG00000049583,Grm5,LS_In.O
ENSMUSG00000050587,Lrrc4c,LS_In.O
ENSMUSG00000052698,Tln2,LS_In.O
ENSMUSG00000056755,Grm7,LS_In.O
ENSMUSG00000061911,Myt1l,LS_In.O
ENSMUSG00000062296,Trank1,LS_In.O
ENSMUSG00000064293,Cntn4,LS_In.O
ENSMUSG00000097451,Rian,LS_In.O
ENSMUSG00000008658,Rbfox1,LS_In.P
ENSMUSG00000019943,Atp2b1,LS_In.P
ENSMUSG00000021301,Hecw1,LS_In.P
ENSMUSG00000021373,Cap2,LS_In.P
ENSMUSG00000021448,Shc3,LS_In.P
