ensembl,gene,cell_type
ENSMUSG00000002985,Apoe,Astro
ENSMUSG00000005360,Slc1a3,Astro
ENSMUSG00000014361,Mertk,Astro
ENSMUSG00000015090,Ptgds,Astro
ENSMUSG00000015243,Abca1,Astro
ENSMUSG00000022037,Clu,Astro
ENSMUSG00000022108,Itm2b,Astro
ENSMUSG00000024661,Fth1,Astro
ENSMUSG00000024998,Plce1,Astro
ENSMUSG00000025006,Sorbs1,Astro
ENSMUSG00000025283,Sat1,Astro
ENSMUSG00000026701,Prdx6,Astro
ENSMUSG00000027447,Cst3,Astro
ENSMUSG00000027737,Slc7a11,Astro
ENSMUSG00000029723,Spacdr,Astro
ENSMUSG00000030287,Itpr2,Astro
ENSMUSG00000036833,Pnpla7,Astro
ENSMUSG00000037706,Cd81,Astro
ENSMUSG00000040260,Daam2,Astro
ENSMUSG00000061436,Hipk2,Astro
ENSMUSG00000062078,Qki,Astro
ENSMUSG00000001995,Sipa1l2,Chol
ENSMUSG00000022462,Slc38a2,Chol
ENSMUSG00000036381,P2ry14,Chol
ENSMUSG00000042228,Lyn,Chol
ENSMUSG00000064325,Hhip,Chol
ENSMUSG00000000708,Kat2b,ChP
ENSMUSG00000015243,Abca1,ChP
ENSMUSG00000015647,Lama5,ChP
ENSMUSG00000016534,Lamp2,ChP
ENSMUSG00000022136,Dnajc3,ChP
ENSMUSG00000022443,Myh9,ChP
ENSMUSG00000022817,Itgb5,ChP
ENSMUSG00000024055,Cyp4f13,ChP
ENSMUSG00000024998,Plce1,ChP
ENSMUSG00000026031,Cflar,ChP
ENSMUSG00000027422,Rrbp1,ChP
ENSMUSG00000027695,Pld1,ChP
ENSMUSG00000027878,Notch2,ChP
ENSMUSG00000027882,Stxbp3,ChP
ENSMUSG00000027962,Vcam1,ChP
ENSMUSG00000028163,Nfkb1,ChP
ENSMUSG00000029552,Tes,ChP
ENSMUSG00000029723,Spacdr,ChP
ENSMUSG00000030064,Frmd4b,ChP
ENSMUSG00000030536,Iqgap1,ChP
ENSMUSG00000032060,Cryab,ChP
ENSMUSG00000032440,Tgfbr2,ChP
ENSMUSG00000032712,Resf1,ChP
ENSMUSG00000033149,Phldb2,ChP
ENSMUSG00000033192,Lpcat2,ChP
ENSMUSG00000033386,Frrs1,ChP
ENSMUSG00000035158,Mitf,ChP
ENSMUSG00000036461,Elf1,ChP
ENSMUSG00000037815,Ctnna1,ChP
ENSMUSG00000038855,Itpkb,ChP
ENSMUSG00000042613,Pbxip1,ChP
ENSMUSG00000043336,Filip1l,ChP
ENSMUSG00000045962,Wnk1,ChP
ENSMUSG00000050708,Ftl1,ChP
ENSMUSG00000052336,Cx3cr1,ChP
ENSMUSG00000053931,Cnn3,ChP
ENSMUSG00000055322,Tns1,ChP
ENSMUSG00000055435,Maf,ChP
ENSMUSG00000063450,Syne2,ChP
ENSMUSG00000064215,Ifi27,ChP
ENSMUSG00000064246,Chil1,ChP
ENSMUSG00000092274,Neat1,ChP
ENSMUSG00000002885,Adgre5,Endo
ENSMUSG00000002985,Apoe,Endo
