ensembl,gene,cell_type
ENSMUSG00000003617,Cp,Endo
ENSMUSG00000004040,Stat3,Endo
ENSMUSG00000007041,Clic1,Endo
ENSMUSG00000008398,Elk3,Endo
ENSMUSG00000009687,Fxyd5,Endo
ENSMUSG00000015133,Lrrk1,Endo
ENSMUSG00000016087,Fli1,Endo
ENSMUSG00000017707,Serinc3,Endo
ENSMUSG00000019978,Epb41l2,Endo
ENSMUSG00000020077,Srgn,Endo
ENSMUSG00000020585,Laptm4a,Endo
ENSMUSG00000021585,Cast,Endo
ENSMUSG00000022108,Itm2b,Endo
ENSMUSG00000022136,Dnajc3,Endo
ENSMUSG00000022146,Osmr,Endo
ENSMUSG00000022443,Myh9,Endo
ENSMUSG00000022462,Slc38a2,Endo
ENSMUSG00000022587,Ly6e,Endo
ENSMUSG00000023008,Fmnl3,Endo
ENSMUSG00000023010,Tmbim6,Endo
ENSMUSG00000024661,Fth1,Endo
ENSMUSG00000024778,Fas,Endo
ENSMUSG00000025006,Sorbs1,Endo
ENSMUSG00000025492,Ifitm3,Endo
ENSMUSG00000025780,Itih5,Endo
ENSMUSG00000025809,Itgb1,Endo
ENSMUSG00000026193,Fn1,Endo
ENSMUSG00000026222,Sp100,Endo
ENSMUSG00000026728,Vim,Endo
ENSMUSG00000027422,Rrbp1,Endo
ENSMUSG00000027447,Cst3,Endo
ENSMUSG00000028163,Nfkb1,Endo
ENSMUSG00000028382,Ptbp3,Endo
ENSMUSG00000028465,Tln1,Endo
ENSMUSG00000028868,Wasf2,Endo
ENSMUSG00000029313,Aff1,Endo
ENSMUSG00000029484,Anxa3,Endo
ENSMUSG00000030064,Frmd4b,Endo
ENSMUSG00000030157,Clec2d,Endo
ENSMUSG00000030168,Adipor2,Endo
ENSMUSG00000030287,Itpr2,Endo
ENSMUSG00000030536,Iqgap1,Endo
ENSMUSG00000030737,Slco2b1,Endo
ENSMUSG00000031207,Msn,Endo
ENSMUSG00000031447,Lamp1,Endo
ENSMUSG00000032035,Ets1,Endo
ENSMUSG00000032440,Tgfbr2,Endo
ENSMUSG00000033149,Phldb2,Endo
ENSMUSG00000033335,Dnm2,Endo
ENSMUSG00000034109,Golim4,Endo
ENSMUSG00000037706,Cd81,Endo
ENSMUSG00000037815,Ctnna1,Endo
ENSMUSG00000038855,Itpkb,Endo
ENSMUSG00000040043,Rbms2,Endo
ENSMUSG00000040940,Arhgef1,Endo
ENSMUSG00000042228,Lyn,Endo
ENSMUSG00000045962,Wnk1,Endo
ENSMUSG00000048120,Entpd1,Endo
ENSMUSG00000050708,Ftl1,Endo
ENSMUSG00000054404,Slfn5,Endo
ENSMUSG00000055322,Tns1,Endo
ENSMUSG00000060126,Tpt1,Endo
ENSMUSG00000060802,B2m,Endo
ENSMUSG00000063450,Syne2,Endo
ENSMUSG00000069833,Ahnak,Endo
ENSMUSG00000073411,H2-D1,Endo
ENSMUSG00000075602,Ly6a,Endo
ENSMUSG00000092274,Neat1,Endo
ENSMUSG00000001995,Sipa1l2,Ependymal
ENSMUSG00000002985,Apoe,Ependymal
ENSMUSG00000015243,Abca1,Ependymal
ENSMUSG00000020473,Aebp1,Ependymal
ENSMUSG00000020585,Laptm4a,Ependymal
ENSMUSG00000022037,Clu,Ependymal
ENSMUSG00000022108,Itm2b,Ependymal
ENSMUSG00000022136,Dnajc3,Ependymal
ENSMUSG00000024411,Aqp4,Ependymal
ENSMUSG00000024661,Fth1,Ependymal
ENSMUSG00000024998,Plce1,Ependymal
ENSMUSG00000025006,Sorbs1,Ependymal
ENSMUSG00000025997,Ikzf2,Ependymal
ENSMUSG00000026466,Tor1aip1,Ependymal
ENSMUSG00000026701,Prdx6,Ependymal
ENSMUSG00000027422,Rrbp1,Ependymal
ENSMUSG00000027878,Notch2,Ependymal
ENSMUSG00000027947,Il6ra,Ependymal
ENSMUSG00000028163,Nfkb1,Ependymal
ENSMUSG00000029313,Aff1,Ependymal
ENSMUSG00000030168,Adipor2,Ependymal
ENSMUSG00000030342,Cd9,Ependymal
ENSMUSG00000031557,Plekha2,Ependymal
ENSMUSG00000031762,Mt2,Ependymal
ENSMUSG00000032440,Tgfbr2,Ependymal
ENSMUSG00000034663,Bmp2k,Ependymal
ENSMUSG00000035805,Mlc1,Ependymal
ENSMUSG00000037815,Ctnna1,Ependymal
ENSMUSG00000038855,Itpkb,Ependymal
ENSMUSG00000040274,Cdk6,Ependymal
ENSMUSG00000040711,Sh3pxd2b,Ependymal
ENSMUSG00000042613,Pbxip1,Ependymal
ENSMUSG00000045962,Wnk1,Ependymal
ENSMUSG00000052085,Dock8,Ependymal
ENSMUSG00000053931,Cnn3,Ependymal
ENSMUSG00000062078,Qki,Ependymal
ENSMUSG00000063450,Syne2,Ependymal
ENSMUSG00000069833,Ahnak,Ependymal
ENSMUSG00000092274,Neat1,Ependymal
ENSMUSG00000022108,Itm2b,IoC
ENSMUSG00000025997,Ikzf2,IoC
ENSMUSG00000045962,Wnk1,IoC
ENSMUSG00000025809,Itgb1,LS
ENSMUSG00000036381,P2ry14,LS
ENSMUSG00000042228,Lyn,LS
ENSMUSG00000085208,Brip1os,LS
ENSMUSG00000000628,Hk2,Micro
ENSMUSG00000001995,Sipa1l2,Micro
ENSMUSG00000002699,Lcp2,Micro
ENSMUSG00000002985,Apoe,Micro
ENSMUSG00000003283,Hck,Micro
ENSMUSG00000007613,Tgfbr1,Micro
ENSMUSG00000008398,Elk3,Micro
ENSMUSG00000014361,Mertk,Micro
ENSMUSG00000015090,Ptgds,Micro
ENSMUSG00000015243,Abca1,Micro
ENSMUSG00000015745,Plekho1,Micro
ENSMUSG00000016087,Fli1,Micro
ENSMUSG00000017707,Serinc3,Micro
ENSMUSG00000018008,Cyth4,Micro
ENSMUSG00000018381,Abi3,Micro
ENSMUSG00000018654,Ikzf1,Micro
ENSMUSG00000019978,Epb41l2,Micro
ENSMUSG00000020101,Vsir,Micro
ENSMUSG00000020143,Dock2,Micro
ENSMUSG00000020422,Tns3,Micro
ENSMUSG00000020709,Adap2,Micro
ENSMUSG00000021190,Lgmn,Micro
ENSMUSG00000021423,Ly86,Micro
ENSMUSG00000021665,Hexb,Micro
ENSMUSG00000021939,Ctsb,Micro
ENSMUSG00000022108,Itm2b,Micro
ENSMUSG00000022148,Fyb,Micro
ENSMUSG00000022488,Nckap1l,Micro
ENSMUSG00000022817,Itgb5,Micro
ENSMUSG00000022952,Runx1,Micro
ENSMUSG00000024013,Fgd2,Micro
ENSMUSG00000024300,Myo1f,Micro
ENSMUSG00000024621,Csf1r,Micro
ENSMUSG00000024661,Fth1,Micro
ENSMUSG00000024965,Fermt3,Micro
ENSMUSG00000025017,Pik3ap1,Micro
ENSMUSG00000025283,Sat1,Micro
ENSMUSG00000026031,Cflar,Micro
ENSMUSG00000026288,Inpp5d,Micro
ENSMUSG00000026365,Cfh,Micro
ENSMUSG00000026395,Ptprc,Micro
ENSMUSG00000026786,Apbb1ip,Micro
ENSMUSG00000027422,Rrbp1,Micro
ENSMUSG00000027447,Cst3,Micro
ENSMUSG00000027695,Pld1,Micro
ENSMUSG00000027947,Il6ra,Micro
ENSMUSG00000028163,Nfkb1,Micro
ENSMUSG00000028382,Ptbp3,Micro
ENSMUSG00000028859,Csf3r,Micro
ENSMUSG00000028868,Wasf2,Micro
ENSMUSG00000029723,Spacdr,Micro
ENSMUSG00000029919,Hpgds,Micro
ENSMUSG00000029925,Tbxas1,Micro
ENSMUSG00000030064,Frmd4b,Micro
ENSMUSG00000030287,Itpr2,Micro
ENSMUSG00000030671,Pde3b,Micro
ENSMUSG00000030737,Slco2b1,Micro
ENSMUSG00000030786,Itgam,Micro
ENSMUSG00000030844,Rgs10,Micro
ENSMUSG00000032440,Tgfbr2,Micro
ENSMUSG00000033192,Lpcat2,Micro
ENSMUSG00000033335,Dnm2,Micro
ENSMUSG00000034330,Plcg2,Micro
ENSMUSG00000034663,Bmp2k,Micro
ENSMUSG00000034707,Gns,Micro
ENSMUSG00000034792,Gna15,Micro
ENSMUSG00000035158,Mitf,Micro
ENSMUSG00000035697,Arhgap45,Micro
ENSMUSG00000036353,P2ry12,Micro
ENSMUSG00000036833,Pnpla7,Micro
ENSMUSG00000036896,C1qc,Micro
ENSMUSG00000036908,Unc93b1,Micro
ENSMUSG00000038147,Cd84,Micro
ENSMUSG00000038642,Ctss,Micro
ENSMUSG00000039936,Pik3cd,Micro
ENSMUSG00000040940,Arhgef1,Micro
ENSMUSG00000041515,Irf8,Micro
ENSMUSG00000041797,Abca9,Micro
ENSMUSG00000042228,Lyn,Micro
ENSMUSG00000045962,Wnk1,Micro
ENSMUSG00000048120,Entpd1,Micro
ENSMUSG00000048163,Selplg,Micro
ENSMUSG00000048779,P2ry6,Micro
ENSMUSG00000052085,Dock8,Micro
ENSMUSG00000052336,Cx3cr1,Micro
ENSMUSG00000052384,Nrros,Micro
ENSMUSG00000055435,Maf,Micro
ENSMUSG00000055541,Lair1,Micro
ENSMUSG00000056917,Sipa1,Micro
ENSMUSG00000059182,Skap2,Micro
ENSMUSG00000062078,Qki,Micro
ENSMUSG00000063458,Lrmda,Micro
ENSMUSG00000075284,Wipf1,Micro
ENSMUSG00000079110,Capn3,Micro
ENSMUSG00000079227,Ccr5,Micro
ENSMUSG00000084796,Mir142hg,Micro
ENSMUSG00000098112,Bin2,Micro
ENSMUSG00000004677,Myo9b,MS
ENSMUSG00000022462,Slc38a2,MS
ENSMUSG00000025809,Itgb1,MS
ENSMUSG00000035158,Mitf,MS
ENSMUSG00000036381,P2ry14,MS
ENSMUSG00000085208,Brip1os,MS
ENSMUSG00000002985,Apoe,Mural
ENSMUSG00000003617,Cp,Mural
ENSMUSG00000005360,Slc1a3,Mural
ENSMUSG00000015090,Ptgds,Mural
ENSMUSG00000019978,Epb41l2,Mural
ENSMUSG00000022108,Itm2b,Mural
ENSMUSG00000022462,Slc38a2,Mural
ENSMUSG00000022548,Apod,Mural
ENSMUSG00000024661,Fth1,Mural
ENSMUSG00000024998,Plce1,Mural
ENSMUSG00000027447,Cst3,Mural
ENSMUSG00000027695,Pld1,Mural
ENSMUSG00000030287,Itpr2,Mural
ENSMUSG00000033149,Phldb2,Mural
ENSMUSG00000045962,Wnk1,Mural
ENSMUSG00000060126,Tpt1,Mural
ENSMUSG00000062980,Cped1,Mural
ENSMUSG00000092274,Neat1,Mural
ENSMUSG00000002985,Apoe,Neuroblast
ENSMUSG00000015090,Ptgds,Neuroblast
ENSMUSG00000022462,Slc38a2,Neuroblast
ENSMUSG00000024661,Fth1,Neuroblast
ENSMUSG00000027447,Cst3,Neuroblast
ENSMUSG00000030064,Frmd4b,Neuroblast
ENSMUSG00000036503,Rnf13,Neuroblast
ENSMUSG00000061436,Hipk2,Neuroblast
ENSMUSG00000063450,Syne2,Neuroblast
ENSMUSG00000085208,Brip1os,Neuroblast
ENSMUSG00000000708,Kat2b,Oligo
ENSMUSG00000002985,Apoe,Oligo
ENSMUSG00000015090,Ptgds,Oligo
ENSMUSG00000022108,Itm2b,Oligo
ENSMUSG00000022462,Slc38a2,Oligo
ENSMUSG00000022500,Litaf,Oligo
ENSMUSG00000022548,Apod,Oligo
ENSMUSG00000024661,Fth1,Oligo
ENSMUSG00000024810,Il33,Oligo
ENSMUSG00000027447,Cst3,Oligo
ENSMUSG00000027858,Tspan2,Oligo
ENSMUSG00000029723,Spacdr,Oligo
ENSMUSG00000030064,Frmd4b,Oligo
ENSMUSG00000030168,Adipor2,Oligo
ENSMUSG00000032060,Cryab,Oligo
ENSMUSG00000036503,Rnf13,Oligo
ENSMUSG00000037625,Cldn11,Oligo
ENSMUSG00000037706,Cd81,Oligo
ENSMUSG00000040260,Daam2,Oligo
ENSMUSG00000045962,Wnk1,Oligo
ENSMUSG00000061436,Hipk2,Oligo
ENSMUSG00000062078,Qki,Oligo
ENSMUSG00000075284,Wipf1,Oligo
ENSMUSG00000092274,Neat1,Oligo
ENSMUSG00000015090,Ptgds,OPC
ENSMUSG00000020422,Tns3,OPC
ENSMUSG00000022462,Slc38a2,OPC
ENSMUSG00000024998,Plce1,OPC
ENSMUSG00000025997,Ikzf2,OPC
ENSMUSG00000029723,Spacdr,OPC
ENSMUSG00000030287,Itpr2,OPC
ENSMUSG00000033192,Lpcat2,OPC
ENSMUSG00000036381,P2ry14,OPC
ENSMUSG00000037706,Cd81,OPC
ENSMUSG00000045962,Wnk1,OPC
ENSMUSG00000061436,Hipk2,OPC
ENSMUSG00000062078,Qki,OPC
ENSMUSG00000063458,Lrmda,OPC
ENSMUSG00000075284,Wipf1,OPC
ENSMUSG00000022462,Slc38a2,Sept
ENSMUSG00000036381,P2ry14,Sept
ENSMUSG00000025006,Sorbs1,Str
ENSMUSG00000030064,Frmd4b,Str
ENSMUSG00000036381,P2ry14,Str
ENSMUSG00000004677,Myo9b,Thal
ENSMUSG00000030536,Iqgap1,Thal
ENSMUSG00000034707,Gns,Thal
ENSMUSG00000036353,P2ry12,Thal
ENSMUSG00000036381,P2ry14,Thal
ENSMUSG00000042228,Lyn,Thal
ENSMUSG00000043336,Filip1l,Thal
ENSMUSG00000085208,Brip1os,Thal
ENSMUSG00000022462,Slc38a2,TNoS
ENSMUSG00000030064,Frmd4b,TNoS
ENSMUSG00000036381,P2ry14,TNoS
ENSMUSG00000004677,Myo9b,TT.IG.SH
ENSMUSG00000025809,Itgb1,TT.IG.SH
ENSMUSG00000030536,Iqgap1,TT.IG.SH
ENSMUSG00000030671,Pde3b,TT.IG.SH
ENSMUSG00000033335,Dnm2,TT.IG.SH
ENSMUSG00000035158,Mitf,TT.IG.SH
ENSMUSG00000036381,P2ry14,TT.IG.SH
ENSMUSG00000042228,Lyn,TT.IG.SH
