ensemblID,Symbol,EntrezID,logFC
ENSMUSG00000099927,Gm8226,NA,-4.03113684898158
ENSMUSG00000088818,Gm22389,NA,-3.20636870804521
ENSMUSG00000107755,Mageb16-ps2,NA,-2.90819167703085
ENSMUSG00000037438,Uqcrh-ps1,NA,-2.57057297534125
ENSMUSG00000013611,Snx31,66696,-2.35070557903271
ENSMUSG00000064887,Gm24205,NA,-2.27575192489467
ENSMUSG00000088972,Gm23761,NA,-2.16156931084274
ENSMUSG00000085838,Chn1os1,NA,-2.11717995022941
ENSMUSG00000054944,5330416C01Rik,NA,-2.0913573768833
ENSMUSG00000097794,Gm2990,NA,-2.09072584326553
ENSMUSG00000091177,Gm15494,NA,-2.04040870868313
ENSMUSG00000077415,Gm23748,NA,-1.98067516648311
ENSMUSG00000041565,L3mbtl4,320858,-1.96036761738389
ENSMUSG00000001014,Icam4,78369,-1.94294470955353
ENSMUSG00000106692,Gm36447,NA,-1.93471781900425
ENSMUSG00000064648,Gm23303,NA,-1.92530434535781
ENSMUSG00000102033,Gm28263,NA,-1.90119624706316
ENSMUSG00000084504,Gm25323,NA,-1.90108521475105
ENSMUSG00000096768,Gm47283,170942,-1.89311692927569
ENSMUSG00000103695,A830029E22Rik,NA,-1.84906269022604
ENSMUSG00000102192,Gm38167,NA,-1.83602047907078
ENSMUSG00000097928,Gm26578,NA,-1.82618054409444
ENSMUSG00000108516,Gm44602,NA,-1.81040782253694
ENSMUSG00000109604,Gm45346,NA,-1.80292046712187
ENSMUSG00000073752,Gm10570,NA,-1.79474375884624
ENSMUSG00000049928,Glp2r,93896,-1.76222052565716
ENSMUSG00000087322,Gm16075,NA,-1.74081717769695
ENSMUSG00000075707,Dio3,107585,-1.72129234394174
ENSMUSG00000044534,Ackr2,59289,-1.71695216517401
ENSMUSG00000105498,Gm42677,NA,-1.69178399796633
ENSMUSG00000082023,Gm14407,NA,-1.66049155173359
ENSMUSG00000025081,Tdrd1,83561,-1.65781364418926
ENSMUSG00000055818,A230083G16Rik,NA,-1.65755120496453
ENSMUSG00000096070,Gm25350,NA,-1.64846360760694
ENSMUSG00000104904,9330198I05Rik,NA,-1.64777572332789
ENSMUSG00000105711,Gm42598,NA,-1.62576174863328
ENSMUSG00000079460,4933403O08Rik,71030,-1.62295037937848
ENSMUSG00000084629,Gm25112,NA,-1.61459769733632
ENSMUSG00000015852,Fcrls,80891,-1.60728186533371
ENSMUSG00000081929,Rps11-ps2,NA,-1.60192807949466
ENSMUSG00000092094,Zfp804b,207618,-1.54919317013035
ENSMUSG00000048489,Depp1,213393,-1.53886211898599
ENSMUSG00000085609,1700016P03Rik,NA,-1.522817807693
ENSMUSG00000036062,Phf24,230085,-1.49708522132257
ENSMUSG00000105700,Gm42772,NA,-1.4914010425839
ENSMUSG00000041046,Ramp3,56089,-1.47522288904794
ENSMUSG00000019890,Nts,67405,-1.46190262893824
ENSMUSG00000022454,Nell2,54003,-1.4584230035691
ENSMUSG00000106404,Gm42919,NA,-1.44649350776228
ENSMUSG00000003545,Fosb,14282,-1.44256156471444
ENSMUSG00000104655,Gm43317,NA,-1.43127092670699
ENSMUSG00000104661,Gm42768,NA,-1.40003453193165
ENSMUSG00000106414,Gm43320,NA,-1.399613743063
ENSMUSG00000104929,Gm42766,NA,-1.35495845429845
ENSMUSG00000102619,Gm37849,NA,-1.34577467412932
ENSMUSG00000104562,Gm42767,NA,-1.34001972336946
ENSMUSG00000021062,Rab15,104886,-1.33926285719317
ENSMUSG00000103544,Gm10048,NA,-1.33391460855996
ENSMUSG00000106579,Gm42771,NA,-1.33047736841732
ENSMUSG00000105983,Gm42770,NA,-1.33038815639669
ENSMUSG00000106244,Gm43046,NA,-1.32821445769226
ENSMUSG00000050963,Kcns2,16539,-1.32508080698888
ENSMUSG00000035681,Kcnc2,268345,-1.32420415708169
ENSMUSG00000105574,Gm43648,NA,-1.32316469036419
ENSMUSG00000022494,Shisa9,72555,-1.31788821335582
ENSMUSG00000106408,Gm43321,NA,-1.31582285855402
ENSMUSG00000105771,2900064K03Rik,NA,-1.29961205970483
ENSMUSG00000033910,Gucy1a1,60596,-1.28652604888369
ENSMUSG00000088633,Gm22313,NA,-1.283748025581
ENSMUSG00000058258,Idi1,319554,-1.27872011454042
ENSMUSG00000010803,Gabra1,14394,-1.27284192859646
ENSMUSG00000105530,Gm43829,NA,-1.2681556356957
ENSMUSG00000105791,Gm43341,NA,-1.26573828473223
ENSMUSG00000028341,Nr4a3,18124,-1.26490496578042
ENSMUSG00000048483,Zdhhc22,238331,-1.25938654729839
ENSMUSG00000021991,Cacna2d3,12294,-1.25884132972912
ENSMUSG00000057715,A830018L16Rik,320492,-1.25563750613434
ENSMUSG00000046561,Arsj,271970,-1.25275030501054
ENSMUSG00000055125,M5C1000I18Rik,NA,-1.24328087413062
ENSMUSG00000097276,4930525G20Rik,NA,-1.24228792887648
ENSMUSG00000040536,Necab1,69352,-1.24022144375276
ENSMUSG00000060371,Caln1,140904,-1.23964800754279
ENSMUSG00000105974,Gm43318,NA,-1.23667646011629
ENSMUSG00000009394,Syn2,20965,-1.2326410830988
ENSMUSG00000045912,C2cd4c,237397,-1.21926941220744
ENSMUSG00000029054,Gabrd,14403,-1.2140342915683
ENSMUSG00000032503,Arpp21,74100,-1.21007859205677
ENSMUSG00000020251,Glt8d2,74782,-1.20958137505775
ENSMUSG00000029088,Kcnip4,80334,-1.20272806914117
ENSMUSG00000050541,Adra1b,11548,-1.20201124222858
ENSMUSG00000105332,Gm43316,NA,-1.20032714963686
ENSMUSG00000039488,Cntn5,244682,-1.20006018726171
ENSMUSG00000029055,Plch2,269615,-1.19186905520939
ENSMUSG00000105958,Gm43319,NA,-1.18505284584235
ENSMUSG00000097903,Gm26679,NA,-1.18152102111901
ENSMUSG00000064293,Cntn4,269784,-1.17379516673535
ENSMUSG00000049123,Catsperg2,76718,-1.17245415227855
ENSMUSG00000090698,Apold1,381823,-1.15773005849595
ENSMUSG00000038026,Kcnj9,16524,-1.15706101638897
ENSMUSG00000062372,Otof,83762,-1.15351763587494
