"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"44","-1","BP","GO:0048814","regulation of dendrite morphogenesis","29/1173","88/14755",1.42017584280937e-11,1.58026839236243e-09,1.38484132423229e-09,29
"45","-1","BP","GO:0048791","calcium ion-regulated exocytosis of neurotransmitter","14/1173","21/14755",2.55800855488668e-11,2.7831133077167e-09,2.43893400461242e-09,14
"46","-1","BP","GO:0050773","regulation of dendrite development","35/1173","127/14755",3.6019131639161e-11,3.83368844576809e-09,3.35958765586316e-09,35
"47","-1","BP","GO:0140029","exocytic process","29/1173","93/14755",6.55871180567874e-11,6.83222404268151e-09,5.98730331913696e-09,29
"48","-1","BP","GO:0106027","neuron projection organization","32/1173","111/14755",6.87037888193935e-11,7.00778645957813e-09,6.14115445675105e-09,32
"49","-1","BP","GO:0048588","developmental cell growth","52/1173","250/14755",9.09265419709705e-11,9.08523162224227e-09,7.9616881863303e-09,52
"50","-1","BP","GO:0007626","locomotory behavior","50/1173","236/14755",1.05304700433206e-10,1.01390847131825e-08,8.88521441583501e-09,50
"51","1","BP","GO:0002250","adaptive immune response","210/2093","359/14755",1.93267751697089e-87,1.10626461071414e-83,7.5760958665259e-84,210
"52","1","BP","GO:0050778","positive regulation of immune response","225/2093","433/14755",6.35555732743787e-80,1.81896050711272e-76,1.24568923617782e-76,225
"53","1","BP","GO:0009617","response to bacterium","238/2093","491/14755",1.14091098795674e-76,2.17685816502145e-73,1.4907903575968e-73,238
"54","1","BP","GO:0042110","T cell activation","232/2093","490/14755",3.7032427780596e-72,5.29934041540329e-69,3.62917792249841e-69,232
"55","1","BP","GO:0002443","leukocyte mediated immunity","182/2093","331/14755",1.20135196300797e-69,1.37530772725152e-66,9.41859938998247e-67,182
"56","1","BP","GO:0001819","positive regulation of cytokine production","203/2093","419/14755",3.84166738058144e-65,3.66495068107469e-62,2.50988935531321e-62,203
"57","1","BP","GO:0002697","regulation of immune effector process","174/2093","340/14755",2.67887596335536e-60,2.1905551448923e-57,1.500170539479e-57,174
"58","1","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","151/2093","270/14755",4.39923047442645e-59,3.14764940445212e-56,2.15562293246896e-56,151
"59","1","BP","GO:0002764","immune response-regulating signaling pathway","165/2093","322/14755",2.83445699154667e-57,1.80271464662368e-54,1.23456348965144e-54,165
"60","1","BP","GO:0032103","positive regulation of response to external stimulus","183/2093","388/14755",2.14215144226406e-56,1.22616748555195e-53,8.39723365367511e-54,183
"61","1","BP","GO:0051249","regulation of lymphocyte activation","194/2093","437/14755",1.40636118663932e-54,7.31819221120317e-52,5.01175986511468e-52,194
"62","1","BP","GO:0002449","lymphocyte mediated immunity","138/2093","250/14755",4.42039167162974e-53,2.10852682736738e-50,1.44399461273238e-50,138
"63","1","BP","GO:0002683","negative regulation of immune system process","178/2093","390/14755",3.22954759826361e-52,1.4219946501893e-49,9.73832814245642e-50,178
"64","1","BP","GO:0031349","positive regulation of defense response","138/2093","256/14755",2.08986248076792e-51,8.54455202851111e-49,5.85161494615017e-49,138
"65","1","BP","GO:1903131","mononuclear cell differentiation","184/2093","418/14755",4.52525565068557e-51,1.72683755630161e-48,1.18260014337916e-48,184
"66","1","BP","GO:0002831","regulation of response to biotic stimulus","151/2093","309/14755",5.26075495850118e-49,1.8820350864038e-46,1.28888496483279e-46,151
"67","1","BP","GO:0050867","positive regulation of cell activation","157/2093","341/14755",1.13442096834261e-46,3.81966213105476e-44,2.61584129170766e-44,157
"68","1","BP","GO:0019221","cytokine-mediated signaling pathway","153/2093","328/14755",2.19530658511351e-46,6.98107494066096e-44,4.78088989646942e-44,153
"69","1","BP","GO:0007159","leukocyte cell-cell adhesion","157/2093","343/14755",2.90521373446997e-46,8.75233864005584e-44,5.99391465216962e-44,157
"70","1","BP","GO:0009615","response to virus","144/2093","297/14755",3.18889254651285e-46,8.79708471944058e-44,6.02455836831011e-44,144
"71","1","BP","GO:0070661","leukocyte proliferation","146/2093","304/14755",3.22744198302327e-46,8.79708471944058e-44,6.02455836831011e-44,146
"72","1","BP","GO:0030098","lymphocyte differentiation","166/2093","379/14755",1.03097402023952e-45,2.68240695084138e-43,1.83700825424497e-43,166
"73","1","BP","GO:0002699","positive regulation of immune effector process","126/2093","240/14755",2.57434533085905e-45,6.40676203210312e-43,4.38757986824672e-43,126
"74","1","BP","GO:0045088","regulation of innate immune response","114/2093","202/14755",2.86263578055971e-45,6.8273863366349e-43,4.67563844158086e-43,114
"75","1","BP","GO:0002274","myeloid leukocyte activation","113/2093","199/14755",3.02411485791305e-45,6.92401337867773e-43,4.74181209720767e-43,113
"76","1","BP","GO:0042742","defense response to bacterium","109/2093","187/14755",3.38485851115872e-45,7.45189619918175e-43,5.10332513990085e-43,109
"77","1","BP","GO:0002253","activation of immune response","127/2093","245/14755",7.08997942149404e-45,1.50307563735674e-42,1.02935997526876e-42,127
"78","1","BP","GO:0050863","regulation of T cell activation","148/2093","321/14755",4.1560094806504e-44,8.49607080972961e-42,5.81841327291057e-42,148
"79","1","BP","GO:0002696","positive regulation of leukocyte activation","148/2093","323/14755",1.06547580157398e-43,2.10302878903775e-41,1.44022935936897e-41,148
"80","1","BP","GO:0045785","positive regulation of cell adhesion","180/2093","446/14755",1.90613393845065e-43,3.63690355456383e-41,2.49068167957551e-41,180
"81","1","BP","GO:0002703","regulation of leukocyte mediated immunity","116/2093","216/14755",4.34298738701446e-43,8.01911606557121e-41,5.49177759906344e-41,116
"82","1","BP","GO:0032943","mononuclear cell proliferation","132/2093","274/14755",5.04506029503496e-42,9.02435160274378e-40,6.18019886141783e-40,132
"83","1","BP","GO:0050900","leukocyte migration","143/2093","318/14755",4.67154149146913e-41,8.10300105974827e-39,5.54922504441181e-39,143
"84","1","BP","GO:0046651","lymphocyte proliferation","129/2093","268/14755",4.93850116234077e-41,8.31411195683488e-39,5.69380134011054e-39,129
"85","1","BP","GO:0051607","defense response to virus","122/2093","246/14755",1.52442953075575e-40,2.42384295390164e-38,1.65993437793404e-38,122
"86","1","BP","GO:0140546","defense response to symbiont","122/2093","246/14755",1.52442953075575e-40,2.42384295390164e-38,1.65993437793404e-38,122
"87","1","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","141/2093","314/14755",2.10850511647855e-40,3.26191440181708e-38,2.23387569097187e-38,141
"88","1","BP","GO:0022407","regulation of cell-cell adhesion","169/2093","423/14755",4.09357695293996e-40,6.16621959963904e-38,4.22284780408543e-38,169
"89","1","BP","GO:0002237","response to molecule of bacterial origin","121/2093","246/14755",9.48974474439442e-40,1.39280253633112e-37,9.53841010205798e-38,121
"90","1","BP","GO:0002366","leukocyte activation involved in immune response","117/2093","233/14755",1.32554685715856e-39,1.8968575525939e-37,1.29903592001539e-37,117
"91","1","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","115/2093","227/14755",1.99091012355601e-39,2.7795047676182e-37,1.90350431325356e-37,115
"92","1","BP","GO:0046631","alpha-beta T cell activation","94/2093","161/14755",3.44992203666133e-39,4.70175088996416e-37,3.21992723421724e-37,94
"93","1","BP","GO:0022409","positive regulation of cell-cell adhesion","127/2093","270/14755",4.52197435425536e-39,6.01948400087387e-37,4.12235801597233e-37,127
"94","1","BP","GO:0002263","cell activation involved in immune response","117/2093","237/14755",1.15928898358569e-38,1.50812957773739e-36,1.03282109446725e-36,117
"95","1","BP","GO:0070663","regulation of leukocyte proliferation","116/2093","234/14755",1.44803663912153e-38,1.84190260496258e-36,1.26140080563475e-36,116
"96","1","BP","GO:0051251","positive regulation of lymphocyte activation","127/2093","280/14755",5.16062716823113e-37,6.42161519803369e-35,4.39775184771001e-35,127
"97","1","BP","GO:0032944","regulation of mononuclear cell proliferation","108/2093","215/14755",1.2103004610845e-36,1.47399145515908e-34,1.00944208669176e-34,108
"98","1","BP","GO:0002833","positive regulation of response to biotic stimulus","91/2093","162/14755",4.1970378530539e-36,5.00496763976677e-34,3.42758091332735e-34,91
"99","1","BP","GO:0002819","regulation of adaptive immune response","96/2093","178/14755",5.03626830706375e-36,5.88318363053732e-34,4.029014645651e-34,96
"100","1","BP","GO:0032496","response to lipopolysaccharide","110/2093","227/14755",1.89147352653037e-35,2.16535889317196e-33,1.48291524479981e-33,110
