"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"1","-1","BP","GO:0050804","modulation of chemical synaptic transmission","137/1173","494/14755",7.21269798236863e-41,2.26564935692066e-37,1.98546327373766e-37,137
"2","-1","BP","GO:0099177","regulation of trans-synaptic signaling","137/1173","495/14755",9.25510358219223e-41,2.26564935692066e-37,1.98546327373766e-37,137
"3","-1","BP","GO:0050808","synapse organization","123/1173","479/14755",4.60476707481742e-33,7.51497986610203e-30,6.58562477086168e-30,123
"4","-1","BP","GO:0099003","vesicle-mediated transport in synapse","79/1173","247/14755",2.59650215143541e-28,3.17811863335695e-25,2.78509020243441e-25,79
"5","-1","BP","GO:0007269","neurotransmitter secretion","64/1173","174/14755",5.32574523031017e-27,4.3458081079331e-24,3.80837501030601e-24,64
"6","-1","BP","GO:0099643","signal release from synapse","64/1173","174/14755",5.32574523031017e-27,4.3458081079331e-24,3.80837501030601e-24,64
"7","-1","BP","GO:0099504","synaptic vesicle cycle","70/1173","217/14755",1.88504914140747e-25,1.31845722804728e-22,1.15540756396644e-22,70
"8","-1","BP","GO:0048167","regulation of synaptic plasticity","72/1173","230/14755",2.99145148717428e-25,1.83076831015066e-22,1.6043626660161e-22,72
"9","-1","BP","GO:0016079","synaptic vesicle exocytosis","52/1173","129/14755",2.4208349371762e-24,1.31596588891801e-21,1.15322432129984e-21,52
"10","-1","BP","GO:0006836","neurotransmitter transport","69/1173","220/14755",2.68783882540444e-24,1.31596588891801e-21,1.15322432129984e-21,69
"11","-1","BP","GO:0001505","regulation of neurotransmitter levels","69/1173","229/14755",3.61392436592194e-23,1.60852488141399e-20,1.40960341775099e-20,69
"12","-1","BP","GO:0050807","regulation of synapse organization","72/1173","255/14755",2.84820618974439e-22,1.16206812541571e-19,1.01835863415773e-19,72
"13","-1","BP","GO:0045055","regulated exocytosis","70/1173","244/14755",4.03881720755809e-22,1.52108069601572e-19,1.33297319336087e-19,70
"14","-1","BP","GO:0007416","synapse assembly","59/1173","184/14755",1.74548958366808e-21,6.10422642974208e-19,5.34933499476021e-19,59
"15","-1","BP","GO:0050803","regulation of synapse structure or activity","72/1173","263/14755",2.0621307959329e-21,6.73079491792499e-19,5.89841763103333e-19,72
"16","-1","BP","GO:0042391","regulation of membrane potential","93/1173","421/14755",3.68730839066468e-20,1.12831636754339e-17,9.88780855286134e-18,93
"17","-1","BP","GO:0006887","exocytosis","85/1173","364/14755",3.92630208455017e-20,1.13077500035045e-17,9.90935436323622e-18,85
"18","-1","BP","GO:0048813","dendrite morphogenesis","56/1173","179/14755",6.95743069691188e-20,1.89242114956003e-17,1.65839108307677e-17,56
"19","-1","BP","GO:0060078","regulation of postsynaptic membrane potential","43/1173","112/14755",2.21128970001813e-19,5.69814440594145e-17,4.99347192092736e-17,43
"20","-1","BP","GO:0007409","axonogenesis","95/1173","448/14755",2.81857594763092e-19,6.8998739198005e-17,6.04658713818086e-17,95
"21","-1","BP","GO:0016358","dendrite development","73/1173","300/14755",1.66402188411234e-18,3.87954816410192e-16,3.39977603992075e-16,73
"22","-1","BP","GO:0061564","axon development","99/1173","492/14755",2.27637034744397e-18,5.06595873685713e-16,4.43946676372327e-16,99
"23","-1","BP","GO:0046928","regulation of neurotransmitter secretion","41/1173","112/14755",1.15976867839008e-17,2.46879454321646e-15,2.16348610211349e-15,41
"24","-1","BP","GO:0050806","positive regulation of synaptic transmission","53/1173","183/14755",3.05793222765203e-17,6.23818174441014e-15,5.46672445610074e-15,53
"25","-1","BP","GO:0051588","regulation of neurotransmitter transport","42/1173","127/14755",3.27986369968943e-16,6.42328506947178e-14,5.62893660628805e-14,42
"26","-1","BP","GO:0035418","protein localization to synapse","34/1173","87/14755",6.97466301545073e-16,1.31338269706334e-13,1.1509605850598e-13,34
"27","-1","BP","GO:0099565","chemical synaptic transmission, postsynaptic","36/1173","98/14755",9.95068717672669e-16,1.80439127471311e-13,1.58124759970129e-13,36
"28","-1","BP","GO:0034765","regulation of ion transmembrane transport","88/1173","460/14755",4.73572337943057e-15,8.28075059489003e-13,7.25669492276654e-13,88
"29","-1","BP","GO:0051963","regulation of synapse assembly","38/1173","115/14755",8.7897023780943e-15,1.48394423597068e-12,1.30042928831624e-12,38
"30","-1","BP","GO:0048168","regulation of neuronal synaptic plasticity","29/1173","71/14755",2.41696482361422e-14,3.94448659213841e-12,3.45668372668476e-12,29
"31","-1","BP","GO:0099173","postsynapse organization","52/1173","205/14755",2.54173499896758e-14,4.01430146933719e-12,3.5178648067205e-12,52
"32","-1","BP","GO:0060079","excitatory postsynaptic potential","32/1173","87/14755",3.76287140431449e-14,5.75719324860117e-12,5.04521836973219e-12,32
"33","-1","BP","GO:0051962","positive regulation of nervous system development","71/1173","343/14755",4.02486814415974e-14,5.971440737517e-12,5.23297051215155e-12,71
"34","-1","BP","GO:2000300","regulation of synaptic vesicle exocytosis","30/1173","79/14755",8.79669682232361e-14,1.2667243424146e-11,1.11007232965297e-11,30
"35","-1","BP","GO:0017157","regulation of exocytosis","54/1173","225/14755",9.56113870649408e-14,1.33746671734271e-11,1.17206620654646e-11,54
"36","-1","BP","GO:0007611","learning or memory","64/1173","297/14755",1.08363375081699e-13,1.47374190111111e-11,1.29148864571054e-11,64
"37","-1","BP","GO:1902414","protein localization to cell junction","37/1173","120/14755",2.27907957876424e-13,3.01577665341344e-11,2.64282456985577e-11,37
"38","-1","BP","GO:0050890","cognition","67/1173","330/14755",5.57450371978916e-13,7.18230795054940e-11,6.29409339663729e-11,67
"39","-1","BP","GO:0007612","learning","45/1173","174/14755",6.80042036249854e-13,8.53714310122893e-11,7.48138013428989e-11,45
"40","-1","BP","GO:1903305","regulation of regulated secretory pathway","43/1173","163/14755",1.06704042073772e-12,1.30605747498297e-10,1.14454125129657e-10,43
"41","-1","BP","GO:0035249","synaptic transmission, glutamatergic","34/1173","112/14755",3.50263145362744e-12,4.18265453584389e-10,3.66539815275621e-10,34
"42","-1","BP","GO:0051965","positive regulation of synapse assembly","28/1173","79/14755",4.26976357453635e-12,4.97732439545951e-10,4.36179356636846e-10,28
"43","-1","BP","GO:0016082","synaptic vesicle priming","16/1173","26/14755",5.71335784274859e-12,6.50525581351095e-10,5.70077027345e-10,16
