"Aqp4.Rbpms_1vAll","Aqp4.Rbpms_pw","Astro_1vAll","Astro_pw","Endo_1vAll","Endo_pw","Ependymal_1vAll","Ependymal_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Excit_G_1vAll","Excit_G_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Inhib_G_1vAll","Inhib_G_pw","Inhib_H_1vAll","Inhib_H_pw","Inhib_I_1vAll","Inhib_I_pw","Inhib_J_1vAll","Inhib_J_pw","Inhib_K_1vAll","Inhib_K_pw","Inhib_L_1vAll","Inhib_L_pw","Inhib_M_1vAll","Inhib_M_pw","Inhib_N_1vAll","Inhib_N_pw","Inhib_O_1vAll","Inhib_O_pw","Inhib_P_1vAll","Inhib_P_pw","Inhib_Q_1vAll","Inhib_Q_pw","Micro_1vAll","Micro_pw","Mural_1vAll","Mural_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_COP_1vAll","OPC_COP_pw","OPC_pw"
"Lrrc36","Gm10714","Dtna","Gm20713","Egfl7","Nostrin","Oca2","Oca2","5530401A14Rik","B130024G19Rik","Slc17a6","Slc17a6","Slc17a7","Sdk1","Chat","Necab3","Kcnt2","Neto2","Mpped1","F730043M19Rik","Syt17","","Gabrg3","","Dlx1as","Dlx1","Gpr176","Tafa2","Arhgap6","","Sgcd","Ntng2","Pdzd2","Kcna4","Pdcd7","","Casz1","Slco5a1","Chrm2","","Trpc5","","Arhgap28","Alk","Lrrfip1","Trpc3","Kcnmb2","Sorcs3","Hs6st3","Ripor2","Hs3st2","","Gm41414","","Dgkg","Pkp2","Myo1f","Myo1f","Fbxl7","Eya1","Trf","A230001M10Rik","Vxn","Inava","Kif19a","Xylt1"
"Spag17","C230072F16Rik","Cpe","Ndrg2","Nostrin","Klf2","Trpv4","Trpv4","Epha3","Gm11418","Vav3","4930509J09Rik","Etl4","Smurf1","Necab3","Tspan18","Chrm2","Adcy2","Sidt1","Ext1","Kcnj6","","Thsd7b","","Sox2ot","Zfp704","Mkx","Mkx","Nkain3","","Crtac1","Furin","Gng7","Sh2d5","Fstl5","","Otof","Ndrg4","Cacna2d2","","Elavl2","","Sst","Gm45025","Hectd2","Ppm1e","Adra1b","Nrip3","Tmem255a","Prkg1","Pip5k1b","","Arhgap6","","Gm41414","Epha10","Ly86","Ly86","Cald1","Adam12","Ugt8a","C030029H02Rik","Itga9","Gm36988","Rhbdl2","Shc4"
"Gm10714","Dnah3","Acsl3","Cpe","Klf2","Zfp366","Gm534","Fap","Gm11418","Prkg2","Zmat4","Zfp804b","Neurod2","Oprm1","1700003F12Rik","1700003F12Rik","Lcp1","Tmem200a","Nwd2","5730522E02Rik","Cabp1","","Grin2a","","Gm4258","Ezh2","Grip1os2","A530058N18Rik","Htr7","","Ahr","Pde11a","Adamts3","Spock3","Lingo2","","Htr4","Krt12","Gm32509","","Nrg3os","","Aff2","Sytl5","Trpc4","Ssh1","Slc44a5","Slc2a13","Necab1","Gm11844","Cpne7","","Myo5b","","Trpc4","Ghr","Ikzf1","Ikzf1","Bmp6","Cp","Plp1","Plekhh1","Epn2","Rhbdl2","Gm36988","Gm2164"
"C230072F16Rik","Spag17","Nwd1","Slc1a2","Zfp366","Clec2d","Kcne2","Gm534","Pgm5","Pgm5","Rnf220","Cpne7","Col12a1","Sdk2","Ano1","Cpne9","Unc13b","Unc13b","Itga8","Gm2824","Nwd2","","Slc35f1","","Pbx3","Auts2","Elavl2","Kcnc1","Gm41414","","Tcerg1l","Isl1","Neto1","","Snhg14","","Sipa1l2","Lrrk2","Tshz3","","Gm20642","","9330158H04Rik","Epb41l3","Trpc6","Focad","Dlx6os1","Siah3","Ripor2","Sez6","Nxph1","","Gm15261","","4930473D10Rik","Slc18a2","Selplg","Selplg","Nr2f2","Dlc1","Plekhh1","Anln","Xylt1","Ust","Gm13187","Chst11"
"Dthd1","Dthd1","Gm3764","Hepacam","Clic5","Ly6c1","Fap","Kcne2","Shisa6","Clstn2","Nell1","Ptpn4","Cntnap4","Rab26","Tspan18","Vav3","Hs3st4","Stard5","Emid1","Cabp1","Sidt1","","Erbb4","","C79798","Nol4","Cntnap4","","Dscam","","Pde11a","Npy1r","Gnal","","Agbl4","","Esrrg","Gucy1a1","Iqsec3","","Ankrd55","","Chrm2","Gm45341","Dgkg","Kcnn3","Chrna7","","Inpp4b","Egfem1","Ryr2","","D030068K23Rik","","Ptpn3","Kcng3","Apbb1ip","Apbb1ip","Dlc1","Lamc1","Pstpip2","Ermn","Tnr","Kif19a","Arhgap24","Stk32a"
"Dnah3","Cdhr3","Paqr8","Htra1","Ly6c1","Abcg2","Gm50011","Abca4","Clstn2","4921534H16Rik","Grid2ip","Hdac9","Gm17171","","Cpne9","Kcnma1","9130024F11Rik","Col12a1","Sv2b","Sidt1","Nell2","","Lypd1","","Sdk2","Ccdc88a","Rnf144b","","Ralyl","","Npy1r","Gm45904","Mctp1","","Trpc5","","Cdh9","Adamts3","Dscam","","Galntl6","","Ndst4","Adra1a","2010300C02Rik","Brinp2","Grip1","","Tmem132c","","Prkcd","","Ano2","","Hs3st2","Grk5","Cyth4","Abca9","Adam12","Add3","Pde8a","4930420G21Rik","Lhfpl3","Gm13187","Inava","Matn4"
"Cdhr3","Ak7","Sparcl1","Rgs20","Clec2d","Eng","Abca4","Gm50011","Prkg2","5530401A14Rik","Gm29478","Ano5","Grik3","","Vav3","Kctd8","Skap1","Gm28905","A230077H06Rik","Rnf165","Mkx","","Adamts3","","Gm26936","Plppr3","Gm47027","","Ankfn1","","Pde1a","Bmper","Dlgap2","","Ece2","","Sv2c","Mme","Vwc2l","","Pdcd7","","Sox2ot","Gm38505","Focad","Pdlim7","Btbd11","","Epha3","","Rasgrf2","","March1","","Shisa6","Gm45159","Cd84","Cd84","Ror1","March6","Zfp536","Map7","Plpp4","Bfsp2","Plxnb3","Zcchc24"
"Tmem212","Tmem212","Gm20713","9430041J12Rik","Tie1","Igfbp7","Cdh3","Slc13a4","Grm8","Adamts18","Zfp804b","Eml1","Sdk2","","Cpne4","Cacnb3","Tmem200a","Sept3","Ext1","Gm10115","Kcnt2","","Pcdh15","","Tiam2","Gm42439","A530058N18Rik","","Trhde","","Ntng2","Sox1ot","Adcy5","","Car10","","Gucy1a1","Sptb","Kcnc2","","Dscam","","Galnt14","Gm28307","Mob3b","Ptpn5","Rasgrf2","","Egfem1","","Cnih3","","Sv2c","","Nkain3","Stum","Nckap1l","Unc93b1","Gm29683","","C030029H02Rik","Tspan2","Calcrl","Cnksr3","Dusp15","6330576A10Rik"
"Ak9","Hydin","Bmpr1b","Gja1","Paqr5","Emcn","Slc13a4","Otx2os1","Tmem163","Calb2","Ccdc136","Gm13629","Csmd2","","Kcnma1","Minar1","9330158H04Rik","Satb1","C1ql3","Cacna2d1","Grin2a","","Slc2a13","","Tox3","Dpysl3","Vwc2","","Ripor2","","Gpr26","Col11a1","Ano3","","Ube3a","","Mme","Strn","Gm48749","","Nrg3","","Sox6","Sntg2","Gpc3","Lama3","Synpr","","Cdh18","","Dgkg","","Sez6l","","Col26a1","4930567K20Rik","Unc93b1","Nckap1l","Bicc1","","Mobp","Ninj2","Arhgap31","Fyn","5830418P13Rik","Vcan"
"Hydin","Ttc29","Farp1","Apoe","Eng","Tie1","Otx2os1","Eps8l2","Nrp2","Nefm","Cacna1g","Inpp5a","Zfpm2","","Kctd8","Gdpd5","Etl4","Gm17167","5730522E02Rik","Runx2","Sphkap","","Gprin3","","Mpped2","Nasp","Cntnap3","","D030068K23Rik","","Wdfy3","Cacng3","Prkch","","Cntnap4","","Gpr26","Sorbs2","Samd5","","Agbl4","","Nell1","B230216N24Rik","Shisa6","Hacd4","Zfp536","","Gm11844","","Sez6l","","Nebl","","Slit1","Gfra2","Abca9","Csf1r","9530026P05Rik","","Enpp2","Mag","6330576A10Rik","Abtb2","Fyn","Ptprz1"
