"Aqp4.Rbpms_1vAll","Aqp4.Rbpms_pw","Astro_1vAll","Astro_pw","Endo_1vAll","Endo_pw","Ependymal_1vAll","Ependymal_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Excit_G_1vAll","Excit_G_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Inhib_G_1vAll","Inhib_G_pw","Inhib_H_1vAll","Inhib_H_pw","Inhib_I_1vAll","Inhib_I_pw","Inhib_J_1vAll","Inhib_J_pw","Inhib_K_1vAll","Inhib_K_pw","Inhib_L_1vAll","Inhib_L_pw","Inhib_M_1vAll","Inhib_M_pw","Inhib_N_1vAll","Inhib_N_pw","Inhib_O_1vAll","Inhib_O_pw","Inhib_P_1vAll","Inhib_P_pw","Inhib_Q_1vAll","Inhib_Q_pw","Micro_1vAll","Micro_pw","Mural_1vAll","Mural_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_COP_1vAll","OPC_COP_pw","OPC_pw"
"Cfap43","Ccdc146","Nfia","Acsbg1","Ly6a","Erg","Col9a3","F5","Tshz2","Ptchd1","Gm20754","","Cdh18","","Ror2","Gm4128","Cntn6","","Bmpr1b","","Clstn2","","Runx1t1","","Myt1","Meis1","Erbb4","","Lrfn5","","Slco3a1","Tac1","Foxp1","","Ahi1","","Chn2","Brinp1","Pdzrn4","","Rtl4","","Klf5","","Pip5k1b","Neurl1a","Dner","","Rapgef4os1","","Nrp1","","Ccdc141","","Col25a1","","Gm50035","Ctss","Svil","","Ermn","Sept4","Abtb2","Gjc3","Nkx2-2","Nrxn2"
"Ccdc146","Dnah10","Ttyh1","Gpc5","Sp100","Clic5","Cgnl1","Msx1","Klhl33","Ephb2","Atp10a","","Galnt9","","Klhl1","Sema3e","Mmp16","","Garnl3","","Galnt9","","Gm26871","","Auts2","Dclk2","Sh3rf3","","Snhg11","","Fstl1","Pde8b","Kcnab1","","Gm45321","","Sh3rf2","Arhgap10","Rtl4","","Grik1","","Shisa6","","Syt7","Ppt1","Apba1","","Man1a","","Ralyl","","Scn5a","","B020031H02Rik","","Adap2","Slco2b1","Utrn","","Slc24a2","Cntn2","Lpcat2","Tmem163","4933423P22Rik","Ugdh"
"Vwa3a","Lmntd1","Msi2","Acsl3","Erg","Hmcn1","Folr2","Col9a3","Kitl","Rasal2","Fhod3","","Chrm3","","Gfra1","Pou6f2","Fmn1","","Kcnh7","","Chrm3","","Dpp6","","Ezh2","Pbx1","Hcn1","","Cpne7","","Clic6","Ephb1","9530059O14Rik","","Kcnc2","","Ppp1r2","Tmod1","Ptprs","","Snhg11","","Dach2","","Ryr3","Dbn1","Nrip3","","Homer2","","Cntnap5b","","Fstl4","","Tcerg1l","","Ctss","Blnk","Apod","","St6galnac3","Rab31","Prkcq","Tnr","9530059O14Rik","Dscam"
"Dnah10","Fam216b","Glul","Ntsr2","Slc7a5","Cdh5","Msx1","Steap2","Nr2f2","Pcp4","Srrm4","","Igsf21","","Ebf1","Ano1","2900026A02Rik","","Runx2","","Ptprd","","Inpp4b","","Plppr3","Stmn1","Btbd11","","Lingo2","","Rerg","Fstl1","Fstl4","","Tshz2","","Drd3","Fam49a","Rimbp2","","Cacna2d2","","Tox3","","Htr1f","Lzts1","Slc35f4","","Scn5a","","Il1rapl2","","Cnr1","","Gm12296","","Lcp2","Lcp2","Rbms1","","Ninj2","Car2","Sh3bp4","Ptprj","Asap3","Sema3d"
"Fam216b","Adgb","Apoe","Farp1","Itm2a","Itm2a","F5","Sulf1","Gm42303","Ank3","Adgra1","","Sulf1","","Prkcq","Gabbr2","Fam189a1","","Fhl2","","Opcml","","Etl4","","Sox11","","Gria4","","Sez6l","","Slco5a1","Rb1","Spock3","","Gm26871","","Fign","Myo16","A330008L17Rik","","Vwc2l","","Trpc5","","Ptpn5","Htr1f","Gng2","","Ncald","","Epha10","","Grm8","","Pkp2","","Pik3ap1","Pik3ap1","Wls","","Dock10","Erbin","Chst11","A930009A15Rik","Gjc3","Ankrd11"
"Adgb","Ttll6","Htra1","Gli2","Slfn5","Slc7a5","Steap2","Tbc1d2","Elavl2","Man2a1","Gm32647","","Prickle1","","Gdpd5","Rspo3","Cpne4","","L3mbtl4","","Car10","","Sema5b","","Dclk2","","Cntnap5c","","Hs3st2","","Pld5","Dchs2","Lmo7","","Tenm1","","Wscd2","Osbpl8","Cdh13","","Gm45321","","Adra1a","","Hectd2os","Nr3c2","Sorcs3","","A330102I10Rik","","Hs3st4","","Cdh8","","Nhs","","Blnk","Hk2","2610307P16Rik","","Hapln2","Ccp110","Gm32509","Srpk3","Slc1a1","Ampd3"
"Ttll6","Ccdc170","Phka1","Fgfr3","Cdh5","Slfn5","Gm29538","Slc29a4","Lrrc3b","Ak5","Elavl2","","Sh3gl2","","Armh4","Dach1","Slit1","","Nectin1","","Miat","","Phactr1","","Nrxn3","","6330576A10Rik","","Nhs","","Vat1l","Mdga1","Actn2","","Zfp804b","","Sema5b","","5330434G04Rik","","Ankrd24","","Nell1os","","Rerg","","Ubash3b","","Iqsec3","","Lzts1","","Nhs","","St8sia6","","8030442B05Rik","8030442B05Rik","Neat1","","Mast3","Il33","Olfm2","Epb41l2","Ptprj","Brinp3"
"Lmntd1","Cfap65","Bcan","Prdx6","Car4","Fn1","Slc29a4","Mdfic","Nefm","Khdrbs2","Cpne9","","Pde1a","","Car10","Lrrc3b","Agbl4","","A830082K12Rik","","Mlip","","Gm48893","","Pbx1","","Srrm4","","Lzts1","","Grin3a","Ogt","Nrg1","","Nrg3os","","Adamts3","","Klhl1","","Ube3a","","Klhl32","","Col23a1","","Homer2","","Cpne7","","Unc5d","","Baiap3","","Gm15680","","Hk2","Irf8","Arhgap6","","Sox10","Fnbp1","Sh3d19","Itpr2","Rapgef1","Serpine2"
"Crocc2","Crocc2","Sat1","F3","Rgs5","Rgs5","Atp2b3","Otx2","Calb2","Gm12296","Scn9a","","Gm45904","","Cnnm2","Klhl1","Sh3rf3","","Cnr1","","Cnksr2","","Msra","","Etv1","","Zmat4","","Ube3a","","Fat3","Bcl11b","Cpne5","","A330076H08Rik","","Pcdh15","","Mmp16","","Nhs","","Col11a1","","Igfbpl1","","A830082K12Rik","","Lypd1","","Homer2","","Cdh13","","Map4k3","","Fli1","Tgfbr1","Ust","","Gatm","Kctd13","Pcdh15","9130019P16Rik","Slc44a1","Spon1"
"Ccdc170","Zfp474","Phkg1","Nwd1","Fn1","Pglyrp1","Gm29266","Wdr72","Rasal2","Raph1","Adamts17","","Adcy1","","Apba1","Ints3","Neto2","","Efcab6","","Fam135b","","Samd12","","Gng2","","Kcnip1","","Snhg14","","Cacng3","Runx1t1","Osbpl8","","Rtl4","","Gm20754","","Cpne4","","Cntnap2","","Gm28307","","Pitpnm3","","Chrm3","","Gria1","","Zfp423","","Focad","","Cdh8","","Irf8","Ifitm10","Prkag2","","Plcl1","Vmp1","Sulf2","4933423P22Rik","Neu4","4932443L11Rik"
