"Aqp4.Rbpms_1vAll","Aqp4.Rbpms_pw","Astro_1vAll","Astro_pw","Endo_1vAll","Endo_pw","Ependymal_1vAll","Ependymal_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Inhib_G_1vAll","Inhib_G_pw","Inhib_H_1vAll","Inhib_H_pw","Inhib_I_1vAll","Inhib_I_pw","Inhib_J_1vAll","Inhib_J_pw","Inhib_K_1vAll","Inhib_K_pw","Inhib_L_1vAll","Inhib_L_pw","Inhib_M_1vAll","Inhib_M_pw","Inhib_N_1vAll","Inhib_N_pw","Inhib_O_1vAll","Inhib_O_pw","Inhib_P_1vAll","Inhib_P_pw","Inhib_Q_1vAll","Inhib_Q_pw","Inhib_R_1vAll","Inhib_R_pw","Micro_1vAll","Micro_pw","Mural_1vAll","Mural_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_COP_1vAll","OPC_COP_pw","OPC_pw"
"Dnah12","Dnah12","Slc1a2","Slc1a3","Slco1a4","Slco1a4","Tmem72","Tmem72","Ebf3","Ebf3","Ntng1","Ntng1","Satb2","Satb2","D130079A08Rik","D130079A08Rik","Mirt1","Mirt1","Slc17a7","Ndst3","Foxp2","Gm49906","2610307P16Rik","2610307P16Rik","Gm31218","Gm31218","Trpc4","","Gm12068","Gm12068","Rarb","Gm10754","Lgr5","Lgr5","Rbm20","A830036E02Rik","Baiap3","","Lhx8","Lhx8","Gm32647","Gm32647","Nos1","Nos1","Stac2","Stac2","Igf1","Npas1","Trhde","Sel1l3","Ano1","St8sia6","Crhr2","Tafa1","Ano2","Ano2","Arhgap45","Arhgap45","Slc6a20a","Cped1","Prr5l","Prr5l","Pdgfra","Enpp6","Enpp6","Pdgfra"
"Wdr49","Wdr49","Slc1a3","Prex2","Flt1","Flt1","Lmx1a","Lmx1a","Ebf2","Ebf2","Ptpn3","Cit","Tmem178","Tmem178","Robo3","Robo3","Myzap","Vwc2l","Itga8","C1ql3","Gm49906","Foxp2","Dlx6os1","Mpped2","Moxd1","Il1rapl2","Myo5b","","Pkib","Pkib","Cacna2d3","Camk4","Cpa6","Frmd7","Slc22a3","Rbm20","Scn9a","","Elavl2","Elavl2","6330411D24Rik","","Tacr1","Tacr1","Myo5b","Hunk","Npas1","Igf1","4930473D10Rik","Gpc3","Myo5b","Rnf207","Tafa1","Atp6v1c2","Ntf3","Ntf3","Inpp5d","Inpp5d","Cped1","Uaca","St18","D7Ertd443e","Cspg4","Bmp4","Bcas1os2","Cspg4"
"Frmpd2","Cfap299","Prex2","Gm6145","Adgrl4","Adgrl4","Gmnc","Gmnc","Postn","Postn","Synpo2","Gabra4","Hs3st4","Khdrbs3","D130009I18Rik","D130009I18Rik","Vwc2l","Tshz2","Sv2b","Cnksr2","6530403H02Rik","","Igfbpl1","Tiam2","Col19a1","Moxd1","Ano1","","Stac","Drd3","Rgs9","Pde1b","Frmd7","Cpa6","A830036E02Rik","Slc22a3","Unc5d","","Galntl6","Gm32442","Adarb2","","Nxph2","Nxph2","Stac","Grid2ip","Cnr1","Kcnq4","Gpc3","Pax6","Trpc4","","Adamtsl1","Crhr2","Adamtsl1","Col15a1","Gm2629","Fyb","Phldb2","Eya2","Sec14l5","Sec14l5","Neu4","9630013A20Rik","Bmp4","Emid1"
"Cfap299","Wdr63","Wdr17","Rorb","Ptprb","Ptprb","Wdr86","Wdr86","Adgrd1","Adgrd1","Lef1","Mctp2","Rai14","Zfpm2","Nwd2","Nwd2","Tshz2","Myzap","Gm49678","Syt17","Tshz1","","Gm38505","C79798","Kcnmb2","Cemip","Dgkg","","Drd3","Prkar2b","Camk4","Caln1","Adamts19","Adamts19","Ust","4930452B06Rik","Dscam","","Fstl5","Slc7a14","Klhl1","","Lhx6","L3mbtl4","Whrn","Lrrfip1","Kcnq4","Adarb2","Sel1l3","Fstl5","Col25a1","","Dgkg","Slc16a11","Col15a1","Slc26a4","Runx1","Gm2629","Uaca","Colec12","D7Ertd443e","Mog","Emid1","Bcas1os2","9630013A20Rik","Megf11"
"Ccdc180","Ccdc180","Gm6145","Plpp3","Mecom","Adgrf5","Slc4a5","Slc4a5","4930438E09Rik","4930438E09Rik","Kcnc2","Ccdc136","Prss12","Prss12","Scube1","Chrna3","Gm49678","Gm49678","Tafa1","Faah","Vwc2l","","Dlx1","Ccnd2","Nxph1","Gpr176","Unc5d","","Gpr149","Gpr149","Caln1","Rarb","Pcbp3","Vipr2","Wnt2","Tll1","Usp29","","Elfn1","Ptprs","A330008L17Rik","","Npy","Npy","Grid2ip","Ryr3","Col19a1","Cnr1","Fstl5","4930473D10Rik","St8sia6","","Pld5","","Ano1","Matn2","Ptprc","Runx1","Eya2","Fbxl7","Mog","Aspa","Sema3d","Gpr17","Bcas1","Vxn"
"Wdr63","Rgs22","Gpc5","Bmpr1b","Adgrf5","Cyyr1","Col8a1","Col8a1","Corin","Samd3","Cpne7","Synpo2","9130024F11Rik","Csmd2","Chrna3","Scube1","Gm15270","Gm15270","Ndst3","Inka2","Otof","","Ccnd2","Nfib","Maf","Kcnmb2","Ryr2","","Htr4","Ahr","Gm10754","Pde1c","Vipr2","Pparg","Tll1","Cdh9","Snhg11","","Pde3a","Acly","Kcnc2","","L3mbtl4","Lhx6","Pld5","2010300C02Rik","Adarb2","Dlx1as","A630012P03Rik","Tmem255a","Scn5a","","Atp6v1c2","","Matn2","Gm12536","Fyb","Ptprc","Arhgap29","Phldb2","Aspa","Pde8a","A930009A15Rik","Ppfibp1","Gpr17","Epn2"
"Rgs22","Unc5cl","Plpp3","Paqr8","Abcb1a","Abcb1a","Kl","Kl","Samd3","Corin","Mctp2","Adgra1","Hs3st2","Adcy1","Clec18a","Clec18a","Neurod6","Skap1","Satb2","Synpo","Alk","","Zfp704","Igfbpl1","Il1rapl2","Cntnap3","Usp29","","Syt6","Crtac1","Arhgap10","Kif17","Pparg","Lgr6","Slco5a1","Ppp1r2","5330434G04Rik","","Slc7a14","","Gm15680","","Adgrg6","Adgrg6","Gm41414","Nab1","Dlx1as","Adra1b","Cpne4","A630012P03Rik","Gm41414","","Ankfn1","","Trhde","D430036J16Rik","Siglech","Dock8","Cgnl1","Gm29683","Mag","Pstpip2","Shc4","Rinl","Rinl","Plpp4"
"Unc5cl","2010001K21Rik","Atp1a2","Glul","Cyyr1","Cldn5","4933429O19Rik","Rbm47","Ctxn3","Ctxn3","Inpp4b","Cacna1g","Arhgap25","Spock1","Syt9","Syt9","Col12a1","Neto2","Pcsk5","Sv2b","Adarb2","","Tmem131l","Sox11","Cemip","Nxph1","Gm15261","","Col11a1","Wdfy3","Slit3","Cpne5","Lgr6","Myo16","4930452B06Rik","Otof","Galntl6","","Inpp4b","","Gm13629","","Col25a1","Sst","Ano2","Trpc6","Pde5a","Chrna7","Cadps2","Trhde","Fgd5","","Whrn","","Slc26a4","Htr1b","Dock8","Siglech","Colec12","Nr2f2","Gjc3","Trf","Vcan","Bcas1","Tns3","Cacng4"
"2010001K21Rik","Frmpd2","Rorb","Gli3","Cldn5","Ushbp1","Col4a3","Col4a3","B130024G19Rik","Sema3a","Cit","Amotl1","Khdrbs3","St6gal2","Tex15","Tex15","Pcsk5","Pcsk5","Dpp10","Itga8","Pbx3","","Nol4","Dlx1","Kcnc2","Col19a1","Slc8a1","","Isl1","Htr4","Kcnq5","4933424G05Rik","Myo16","Gng4","Dpp10","Slco5a1","Grb10","","Cntnap5c","","Alk","","Gm38505","Klf5","Ano1","Hectd2","Kit","Kit","Trpc4","Hs6st3","Gfra1","","Trpc4","","Myo5b","Adamtsl1","Csf3r","Csf3r","Cp","Cald1","1700047M11Rik","St6galnac3","Ppfibp1","Neu4","Ppfibp1","Lhfpl3"
"Dnah6","Lrrc36","Mertk","Fam20a","Ushbp1","Egfl7","Rbm47","4933429O19Rik","Sema3a","Tenm3","Ano5","4930509J09Rik","Dpp10","Nos1ap","Gm12128","Gm12128","Rai14","Neurod6","Nwd2","Plekhg5","Olfm3","","Adarb2","Zfp704","Grip1","Tmem44","Cacna2d2","","Prkar2b","Syt6","Gng7","Gnal","Gng4","Ablim3","Necab1","Wnt2","Gm13629","","Gm32442","","Scn9a","","Alk","Gm28307","Trpc3","Hectd2os","Maf","A830082K12Rik","Pld5","Gabrg1","Cacna2d2","","Frmpd3","","Gm12536","Map4k3","Gm10790","Gm10790","Rbpms","Pdgfrb","Fa2h","Mobp","Megf11","Tns3","Bfsp2","Itga9"
