ensemblID,Symbol,EntrezID,logFC
ENSMUSG00000099927,Gm8226,NA,-4.03113684898158
ENSMUSG00000088818,Gm22389,NA,-3.20636870804521
ENSMUSG00000107755,Mageb16-ps2,NA,-2.90819167703085
ENSMUSG00000037438,Uqcrh-ps1,NA,-2.57057297534125
ENSMUSG00000013611,Snx31,66696,-2.35070557903271
ENSMUSG00000064887,Gm24205,NA,-2.27575192489467
ENSMUSG00000088972,Gm23761,NA,-2.16156931084274
ENSMUSG00000085838,Chn1os1,NA,-2.11717995022941
ENSMUSG00000054944,5330416C01Rik,NA,-2.0913573768833
ENSMUSG00000097794,Gm2990,NA,-2.09072584326553
ENSMUSG00000091177,Gm15494,NA,-2.04040870868313
ENSMUSG00000077415,Gm23748,NA,-1.98067516648311
ENSMUSG00000041565,L3mbtl4,320858,-1.96036761738389
ENSMUSG00000001014,Icam4,78369,-1.94294470955353
ENSMUSG00000106692,Gm36447,NA,-1.93471781900425
ENSMUSG00000064648,Gm23303,NA,-1.92530434535781
ENSMUSG00000102033,Gm28263,NA,-1.90119624706316
ENSMUSG00000084504,Gm25323,NA,-1.90108521475105
ENSMUSG00000096768,Gm47283,170942,-1.89311692927569
ENSMUSG00000103695,A830029E22Rik,NA,-1.84906269022604
ENSMUSG00000102192,Gm38167,NA,-1.83602047907078
ENSMUSG00000097928,Gm26578,NA,-1.82618054409444
ENSMUSG00000108516,Gm44602,NA,-1.81040782253694
ENSMUSG00000109604,Gm45346,NA,-1.80292046712187
ENSMUSG00000073752,Gm10570,NA,-1.79474375884624
ENSMUSG00000049928,Glp2r,93896,-1.76222052565716
ENSMUSG00000087322,Gm16075,NA,-1.74081717769695
ENSMUSG00000075707,Dio3,107585,-1.72129234394174
ENSMUSG00000044534,Ackr2,59289,-1.71695216517401
ENSMUSG00000105498,Gm42677,NA,-1.69178399796633
ENSMUSG00000082023,Gm14407,NA,-1.66049155173359
ENSMUSG00000025081,Tdrd1,83561,-1.65781364418926
ENSMUSG00000055818,A230083G16Rik,NA,-1.65755120496453
ENSMUSG00000096070,Gm25350,NA,-1.64846360760694
ENSMUSG00000104904,9330198I05Rik,NA,-1.64777572332789
ENSMUSG00000105711,Gm42598,NA,-1.62576174863328
ENSMUSG00000079460,4933403O08Rik,71030,-1.62295037937848
ENSMUSG00000084629,Gm25112,NA,-1.61459769733632
ENSMUSG00000015852,Fcrls,80891,-1.60728186533371
ENSMUSG00000081929,Rps11-ps2,NA,-1.60192807949466
ENSMUSG00000092094,Zfp804b,207618,-1.54919317013035
ENSMUSG00000048489,Depp1,213393,-1.53886211898599
ENSMUSG00000085609,1700016P03Rik,NA,-1.522817807693
ENSMUSG00000036062,Phf24,230085,-1.49708522132257
ENSMUSG00000105700,Gm42772,NA,-1.4914010425839
ENSMUSG00000041046,Ramp3,56089,-1.47522288904794
ENSMUSG00000019890,Nts,67405,-1.46190262893824
ENSMUSG00000022454,Nell2,54003,-1.4584230035691
ENSMUSG00000106404,Gm42919,NA,-1.44649350776228
ENSMUSG00000003545,Fosb,14282,-1.44256156471444
ENSMUSG00000104655,Gm43317,NA,-1.43127092670699
ENSMUSG00000104661,Gm42768,NA,-1.40003453193165
ENSMUSG00000106414,Gm43320,NA,-1.399613743063
ENSMUSG00000104929,Gm42766,NA,-1.35495845429845
ENSMUSG00000102619,Gm37849,NA,-1.34577467412932
ENSMUSG00000104562,Gm42767,NA,-1.34001972336946
ENSMUSG00000021062,Rab15,104886,-1.33926285719317
ENSMUSG00000103544,Gm10048,NA,-1.33391460855996
ENSMUSG00000106579,Gm42771,NA,-1.33047736841732
ENSMUSG00000105983,Gm42770,NA,-1.33038815639669
ENSMUSG00000106244,Gm43046,NA,-1.32821445769226
ENSMUSG00000050963,Kcns2,16539,-1.32508080698888
ENSMUSG00000035681,Kcnc2,268345,-1.32420415708169
ENSMUSG00000105574,Gm43648,NA,-1.32316469036419
ENSMUSG00000022494,Shisa9,72555,-1.31788821335582
ENSMUSG00000106408,Gm43321,NA,-1.31582285855402
ENSMUSG00000105771,2900064K03Rik,NA,-1.29961205970483
ENSMUSG00000033910,Gucy1a1,60596,-1.28652604888369
ENSMUSG00000088633,Gm22313,NA,-1.283748025581
ENSMUSG00000058258,Idi1,319554,-1.27872011454042
ENSMUSG00000010803,Gabra1,14394,-1.27284192859646
ENSMUSG00000105530,Gm43829,NA,-1.2681556356957
ENSMUSG00000105791,Gm43341,NA,-1.26573828473223
ENSMUSG00000028341,Nr4a3,18124,-1.26490496578042
ENSMUSG00000048483,Zdhhc22,238331,-1.25938654729839
ENSMUSG00000021991,Cacna2d3,12294,-1.25884132972912
ENSMUSG00000057715,A830018L16Rik,320492,-1.25563750613434
ENSMUSG00000046561,Arsj,271970,-1.25275030501054
ENSMUSG00000055125,M5C1000I18Rik,NA,-1.24328087413062
ENSMUSG00000097276,4930525G20Rik,NA,-1.24228792887648
ENSMUSG00000040536,Necab1,69352,-1.24022144375276
ENSMUSG00000060371,Caln1,140904,-1.23964800754279
ENSMUSG00000105974,Gm43318,NA,-1.23667646011629
ENSMUSG00000009394,Syn2,20965,-1.2326410830988
ENSMUSG00000045912,C2cd4c,237397,-1.21926941220744
ENSMUSG00000029054,Gabrd,14403,-1.2140342915683
ENSMUSG00000032503,Arpp21,74100,-1.21007859205677
ENSMUSG00000020251,Glt8d2,74782,-1.20958137505775
ENSMUSG00000029088,Kcnip4,80334,-1.20272806914117
ENSMUSG00000050541,Adra1b,11548,-1.20201124222858
ENSMUSG00000105332,Gm43316,NA,-1.20032714963686
ENSMUSG00000039488,Cntn5,244682,-1.20006018726171
ENSMUSG00000029055,Plch2,269615,-1.19186905520939
ENSMUSG00000105958,Gm43319,NA,-1.18505284584235
ENSMUSG00000097903,Gm26679,NA,-1.18152102111901
ENSMUSG00000064293,Cntn4,269784,-1.17379516673535
ENSMUSG00000049123,Catsperg2,76718,-1.17245415227855
ENSMUSG00000090698,Apold1,381823,-1.15773005849595
ENSMUSG00000038026,Kcnj9,16524,-1.15706101638897
ENSMUSG00000062372,Otof,83762,-1.15351763587494
ENSMUSG00000038807,Rap1gap2,380711,-1.15141188314307
ENSMUSG00000042604,Kcna4,16492,-1.14939520350238
ENSMUSG00000034584,Exph5,320051,-1.14688908434038
ENSMUSG00000105922,Gm42769,NA,-1.1378544673888
ENSMUSG00000021061,Sptb,20741,-1.1352419908292
ENSMUSG00000086296,D030055H07Rik,NA,-1.13348682633819
ENSMUSG00000059742,Kcnh7,170738,-1.12996416599728
ENSMUSG00000045903,Npas4,225872,-1.12170226798605
ENSMUSG00000030102,Itpr1,16438,-1.1208172621817
ENSMUSG00000066760,Psg16,26436,-1.11097169358028
ENSMUSG00000102215,Gm2464,NA,-1.10500817103303
ENSMUSG00000016150,Tenm1,23963,-1.0927163904705
ENSMUSG00000007653,Gabrb2,14401,-1.09217924671781
ENSMUSG00000021700,Rab3c,67295,-1.09045191658029
ENSMUSG00000032355,Mlip,69642,-1.08892389833272
ENSMUSG00000049556,Lingo1,235402,-1.08802704456728
ENSMUSG00000025889,Snca,20617,-1.08704320103859
ENSMUSG00000031137,Fgf13,14168,-1.08527087938232
ENSMUSG00000030592,Ryr1,20190,-1.08012922190681
ENSMUSG00000030092,Cntn6,53870,-1.07164115201343
ENSMUSG00000028033,Kcnq5,226922,-1.07094844223582
ENSMUSG00000038530,Rgs4,19736,-1.0664755512924
ENSMUSG00000074968,Ano3,228432,-1.06461078011415
ENSMUSG00000046093,Hpcal4,170638,-1.05671194245489
ENSMUSG00000086022,Rad51ap2,209550,-1.05567677578513
ENSMUSG00000037492,Zmat4,320158,-1.05355172988038
ENSMUSG00000068373,D430041D05Rik,241589,-1.05196731532734
ENSMUSG00000028004,Npy2r,18167,-1.04085879309111
ENSMUSG00000037593,BC030499,216976,-1.03387408018479
ENSMUSG00000003271,Sult2b1,54200,-1.03268936463645
ENSMUSG00000024479,Mal2,105853,-1.03096583716676
ENSMUSG00000050587,Lrrc4c,241568,-1.02674521473698
ENSMUSG00000085067,Gm15631,NA,-1.02642673428779
ENSMUSG00000087143,A830082K12Rik,NA,-1.02506359923091
ENSMUSG00000055048,Gm9962,NA,-1.02438342640408
ENSMUSG00000032890,Rims3,242662,-1.02182953655738
ENSMUSG00000048949,Gm6206,NA,-1.01801427878514
ENSMUSG00000106469,C030015E24Rik,NA,-1.01684098749968
ENSMUSG00000047904,Sstr2,20606,-1.01598198597492
ENSMUSG00000044912,Syt16,238266,-1.01537203076161
ENSMUSG00000021701,Plk2,20620,-1.01270613098645
ENSMUSG00000039579,Grin3a,242443,-1.01223041223771
ENSMUSG00000039419,Cntnap2,66797,-1.01112148003774
ENSMUSG00000033060,Lmo7,380928,-1.00235264654141
ENSMUSG00000039059,Hrh3,99296,-1.00132782047924
ENSMUSG00000046178,Nxph1,18231,-0.999275037427406
ENSMUSG00000103992,Gm38029,NA,-0.994794340328699
ENSMUSG00000052026,Slc6a7,240332,-0.993959829343448
ENSMUSG00000024261,Syt4,20983,-0.992618741336794
ENSMUSG00000060882,Kcnd2,16508,-0.987723126163818
ENSMUSG00000107454,Gm43875,NA,-0.980791385925592
ENSMUSG00000036452,Arhgap26,71302,-0.979373032625662
ENSMUSG00000000308,Ckmt1,12716,-0.97898249328207
ENSMUSG00000028773,Fabp3,14077,-0.975795978836489
ENSMUSG00000047261,Gap43,14432,-0.974000337253759
ENSMUSG00000038128,Camk4,12326,-0.972999096958905
ENSMUSG00000070866,Zfp804a,241514,-0.972227981632317
ENSMUSG00000075538,Gm10855,NA,-0.971557887456694
ENSMUSG00000034687,Fras1,231470,-0.969869914606775
ENSMUSG00000046447,Camk2n1,66259,-0.969201847527462
ENSMUSG00000053310,Nrgn,64011,-0.968744950937819
ENSMUSG00000107886,Gm43880,NA,-0.966609464520675
ENSMUSG00000078816,Prkcg,18752,-0.952543790041791
ENSMUSG00000023192,Grm2,108068,-0.950125257843833
ENSMUSG00000020848,Doc2b,13447,-0.948088375706668
ENSMUSG00000069171,Nr2f1,13865,-0.947940164000292
ENSMUSG00000078202,Nrarp,67122,-0.947474529962839
ENSMUSG00000107779,Gm43874,NA,-0.945380994279389
ENSMUSG00000034825,Nrip3,78593,-0.943255072264661
ENSMUSG00000049148,Plcxd3,239318,-0.940357193592136
ENSMUSG00000051379,Flrt3,71436,-0.939882648361624
ENSMUSG00000058248,Kcnh1,16510,-0.936947044107662
ENSMUSG00000071265,1700086L19Rik,NA,-0.935462052631353
ENSMUSG00000027438,Napb,17957,-0.934009998270012
ENSMUSG00000107571,Gm43877,NA,-0.933946178104613
ENSMUSG00000029878,Dbpht2,386753,-0.929751037900956
ENSMUSG00000035864,Syt1,20979,-0.928725383685454
ENSMUSG00000097452,Gm2824,NA,-0.928163266450678
ENSMUSG00000024553,Galr1,14427,-0.927531539792526
ENSMUSG00000066189,Cacng3,54376,-0.927491175166568
ENSMUSG00000025658,Cnksr2,245684,-0.927385945747837
ENSMUSG00000097040,2610316D01Rik,NA,-0.920449751401993
ENSMUSG00000046844,Vat1l,270097,-0.919072031688475
ENSMUSG00000010086,Rnf112,22671,-0.918403091730474
ENSMUSG00000026834,Acvr1c,269275,-0.915850475293664
ENSMUSG00000029641,Rasl11a,68895,-0.913546131681341
ENSMUSG00000106292,Gm43174,NA,-0.913367610562923
ENSMUSG00000062319,Gm10115,NA,-0.9127596060749
ENSMUSG00000050556,Kcnb1,16500,-0.910133991324173
ENSMUSG00000031343,Gabra3,14396,-0.909459741201942
ENSMUSG00000051726,Kcnf1,382571,-0.904836882071695
ENSMUSG00000020297,Nsg2,18197,-0.900645334234016
ENSMUSG00000034187,Nsf,18195,-0.899649589917929
ENSMUSG00000016349,Eef1a2,13628,-0.896884247164373
ENSMUSG00000036564,Ndrg4,234593,-0.896464725537421
ENSMUSG00000029869,Ephb6,13848,-0.893318173226484
ENSMUSG00000024268,Celf4,108013,-0.891902370908453
ENSMUSG00000037703,Lzts3,241638,-0.890841847638883
ENSMUSG00000024403,Atp6v1g2,66237,-0.890193090865408
ENSMUSG00000046204,Pnma2,239157,-0.889885839221379
ENSMUSG00000108146,Gm43889,NA,-0.88673022604624
ENSMUSG00000004267,Eno2,13807,-0.885812712259298
ENSMUSG00000036800,Fam135b,70363,-0.885693439257014
ENSMUSG00000087674,4930447M23Rik,NA,-0.883077222378292
ENSMUSG00000024736,Tmem132a,98170,-0.882767965665911
ENSMUSG00000039114,Nrn1,68404,-0.882722478348966
ENSMUSG00000020436,Gabrg2,14406,-0.882286546528119
ENSMUSG00000016179,Camk1g,215303,-0.880533926240784
ENSMUSG00000031840,Rab3a,19339,-0.878395209559811
ENSMUSG00000027419,Pcsk2,18549,-0.878191013527962
ENSMUSG00000096847,Tmem151b,210573,-0.877180576515312
ENSMUSG00000022055,Nefl,18039,-0.874326867340215
ENSMUSG00000074704,Rad21l,668929,-0.874010065968574
ENSMUSG00000040640,Erc2,238988,-0.871256373831404
ENSMUSG00000103748,Gm38243,NA,-0.870674736683528
ENSMUSG00000021373,Cap2,67252,-0.870634945618015
ENSMUSG00000029420,Rimbp2,231760,-0.868598806702669
ENSMUSG00000029361,Nos1,18125,-0.868463470572709
ENSMUSG00000032572,Col6a4,68553,-0.868177584420348
ENSMUSG00000027220,Syt13,80976,-0.868067019275923
ENSMUSG00000029757,Dync1i1,13426,-0.867323051698333
ENSMUSG00000029223,Uchl1,22223,-0.865381083543801
ENSMUSG00000071531,Gprin2,432839,-0.864904686514046
ENSMUSG00000038742,Angptl6,70726,-0.862473216192776
ENSMUSG00000082229,Nap1l2,17954,-0.862129568309075
ENSMUSG00000039706,Ldb2,16826,-0.860839868937771
ENSMUSG00000007440,Pcdha11,12943,-0.85923524041765
ENSMUSG00000021719,Rgs7bp,52882,-0.858367195702875
ENSMUSG00000106826,Gm42583,NA,-0.85809387223212
ENSMUSG00000070304,Scn2b,72821,-0.853924715615767
ENSMUSG00000041141,Pnmal1,71691,-0.853765723382802
ENSMUSG00000058624,Gda,14544,-0.851261043370064
ENSMUSG00000004961,Syt5,53420,-0.850937051003354
ENSMUSG00000067028,Cntnap5b,241175,-0.849885145382666
ENSMUSG00000075318,Scn2a,110876,-0.849810818250733
ENSMUSG00000026825,Dnm1,13429,-0.849413797728206
ENSMUSG00000037014,Sstr4,20608,-0.847664678821418
ENSMUSG00000107433,Gm43882,NA,-0.847355701440322
ENSMUSG00000035653,Lrfn5,238205,-0.844751076296576
